datetime,open,high,low,close,volume,vwap
2026-01-22 09:30:00,1.01,1.43,1,1.39,6654,1.2966
2026-01-22 09:35:00,1.4,1.74,1.12,1.34,8340,1.4731
2026-01-22 09:40:00,1.31,2,1.18,1.65,10548,1.5776
2026-01-22 09:45:00,1.64,3,1.52,2.71,10277,2.1641
2026-01-22 09:50:00,2.77,3.03,1.84,1.9,3892,2.2899
2026-01-22 09:55:00,1.91,2.85,1.82,2.5,2658,2.4805
2026-01-22 10:00:00,2.5,3.15,2.15,2.75,1075,2.8951
2026-01-22 10:05:00,2.82,3.12,2.63,2.94,439,2.8548
2026-01-22 10:10:00,2.89,2.9,2.38,2.88,577,2.6679
2026-01-22 10:15:00,2.81,3.01,2.2,2.54,860,2.7163
2026-01-22 10:20:00,2.56,2.84,1.9,2.84,2121,2.2345
2026-01-22 10:25:00,2.84,2.95,1.96,2.06,1137,2.3338
2026-01-22 10:30:00,2.08,2.37,1.64,1.66,1350,2.0046
2026-01-22 10:35:00,1.63,1.78,1.43,1.48,3044,1.5818
2026-01-22 10:40:00,1.47,1.7,1.24,1.27,3366,1.4074
2026-01-22 10:45:00,1.27,1.32,1.12,1.29,6516,1.2027
2026-01-22 10:50:00,1.33,1.71,1.32,1.57,6716,1.5083
2026-01-22 10:55:00,1.57,1.75,1.48,1.71,3727,1.6474
2026-01-22 11:00:00,1.71,1.71,1.34,1.37,2192,1.4713
2026-01-22 11:05:00,1.37,1.46,1.17,1.2,1983,1.2873
2026-01-22 11:10:00,1.19,1.35,0.98,1.03,3061,1.1068
2026-01-22 11:15:00,1.04,1.17,0.92,0.97,3940,1.0241
2026-01-22 11:20:00,1.01,1.02,0.79,0.84,3124,0.8597
2026-01-22 11:25:00,0.83,0.89,0.7,0.81,2965,0.7724
2026-01-22 11:30:00,0.8,0.86,0.7,0.79,2820,0.7773
2026-01-22 11:35:00,0.79,0.89,0.73,0.76,2941,0.8217
2026-01-22 11:40:00,0.77,0.8,0.64,0.7,3225,0.7045
2026-01-22 11:45:00,0.71,0.71,0.58,0.63,4891,0.6233
2026-01-22 11:50:00,0.63,0.65,0.55,0.6,2441,0.6019
2026-01-22 11:55:00,0.6,0.83,0.6,0.78,4572,0.7336
2026-01-22 12:00:00,0.78,0.93,0.65,0.66,5555,0.7967
2026-01-22 12:05:00,0.66,0.74,0.54,0.61,2340,0.6086
2026-01-22 12:10:00,0.6,0.66,0.53,0.57,2260,0.6014
2026-01-22 12:15:00,0.56,0.76,0.53,0.63,2794,0.6496
2026-01-22 12:20:00,0.64,0.79,0.6,0.61,4193,0.7186
2026-01-22 12:25:00,0.6,0.71,0.56,0.57,2495,0.6462
2026-01-22 12:30:00,0.56,0.57,0.39,0.4,7573,0.4568
2026-01-22 12:35:00,0.4,0.47,0.39,0.45,3450,0.4278
2026-01-22 12:40:00,0.45,0.45,0.36,0.4,3101,0.3955
2026-01-22 12:45:00,0.4,0.4,0.34,0.36,3070,0.3752
2026-01-22 12:50:00,0.35,0.36,0.31,0.34,5271,0.3379
2026-01-22 12:55:00,0.35,0.39,0.29,0.33,3408,0.3367
2026-01-22 13:00:00,0.33,0.46,0.29,0.31,3007,0.3593
2026-01-22 13:05:00,0.3,0.34,0.29,0.32,3506,0.3102
2026-01-22 13:10:00,0.32,0.46,0.31,0.43,3817,0.3925
2026-01-22 13:15:00,0.43,0.48,0.36,0.39,3173,0.421
2026-01-22 13:20:00,0.4,0.42,0.3,0.33,4818,0.3497
2026-01-22 13:25:00,0.33,0.37,0.32,0.35,862,0.3412
2026-01-22 13:30:00,0.36,0.38,0.28,0.29,2443,0.3044
2026-01-22 13:35:00,0.3,0.33,0.27,0.27,1774,0.2983
2026-01-22 13:40:00,0.28,0.35,0.25,0.33,1157,0.3031
2026-01-22 13:45:00,0.32,0.33,0.24,0.29,1709,0.2761
2026-01-22 13:50:00,0.29,0.36,0.27,0.35,2245,0.3282
2026-01-22 13:55:00,0.34,0.5,0.34,0.44,6484,0.422
2026-01-22 14:00:00,0.44,0.45,0.25,0.27,4047,0.3395
2026-01-22 14:05:00,0.27,0.31,0.23,0.26,2742,0.2535
2026-01-22 14:10:00,0.26,0.29,0.19,0.22,3531,0.2139
2026-01-22 14:15:00,0.22,0.27,0.2,0.22,2103,0.2285
2026-01-22 14:20:00,0.2,0.22,0.17,0.18,1134,0.1833
2026-01-22 14:25:00,0.17,0.19,0.16,0.18,1870,0.1715
2026-01-22 14:30:00,0.18,0.22,0.17,0.2,873,0.1914
2026-01-22 14:35:00,0.2,0.33,0.19,0.32,3145,0.2712
2026-01-22 14:40:00,0.32,0.38,0.24,0.35,6632,0.3055
2026-01-22 14:45:00,0.35,0.48,0.35,0.41,7400,0.4123
2026-01-22 14:50:00,0.4,0.44,0.29,0.42,4698,0.3572
2026-01-22 14:55:00,0.42,0.75,0.38,0.68,13464,0.5811
2026-01-22 15:00:00,0.69,0.78,0.48,0.55,13002,0.5857
2026-01-22 15:05:00,0.57,0.7,0.48,0.66,5096,0.615
2026-01-22 15:10:00,0.65,0.66,0.45,0.46,6261,0.5222
2026-01-22 15:15:00,0.46,0.46,0.3,0.36,8784,0.3723
2026-01-22 15:20:00,0.36,0.49,0.3,0.49,3669,0.3955
