datetime,open,high,low,close,volume,vwap
2026-01-07 09:30:00,1.48,1.68,1.09,1.1,8073,1.3945
2026-01-07 09:35:00,1.1,1.33,0.94,0.94,8627,1.1268
2026-01-07 09:40:00,0.94,1.03,0.77,0.77,9789,0.8718
2026-01-07 09:45:00,0.77,0.85,0.65,0.72,4867,0.7279
2026-01-07 09:50:00,0.73,0.81,0.63,0.75,6307,0.7238
2026-01-07 09:55:00,0.75,0.75,0.59,0.74,6399,0.6765
2026-01-07 10:00:00,0.7,1.02,0.67,0.76,21773,0.8817
2026-01-07 10:05:00,0.76,0.83,0.59,0.64,6433,0.6764
2026-01-07 10:10:00,0.64,0.67,0.56,0.62,4433,0.608
2026-01-07 10:15:00,0.62,0.91,0.62,0.76,9283,0.7915
2026-01-07 10:20:00,0.76,0.84,0.56,0.59,2963,0.6772
2026-01-07 10:25:00,0.57,0.72,0.45,0.52,5035,0.5376
2026-01-07 10:30:00,0.51,0.57,0.39,0.4,6337,0.4433
2026-01-07 10:35:00,0.4,1.01,0.32,0.63,10407,0.6099
2026-01-07 10:40:00,0.6,0.7,0.47,0.58,7052,0.5843
2026-01-07 10:45:00,0.57,0.59,0.31,0.34,9128,0.424
2026-01-07 10:50:00,0.34,0.36,0.29,0.31,4571,0.3178
2026-01-07 10:55:00,0.31,0.32,0.27,0.27,2270,0.2918
2026-01-07 11:00:00,0.26,0.28,0.2,0.21,4729,0.2279
2026-01-07 11:05:00,0.2,0.22,0.2,0.21,2640,0.2082
2026-01-07 11:10:00,0.21,0.22,0.19,0.2,1705,0.2036
2026-01-07 11:15:00,0.2,0.21,0.19,0.2,811,0.1967
2026-01-07 11:20:00,0.2,0.24,0.2,0.22,2095,0.2216
2026-01-07 11:25:00,0.23,0.29,0.22,0.23,2393,0.258
2026-01-07 11:30:00,0.23,0.25,0.18,0.2,1805,0.2183
2026-01-07 11:35:00,0.2,0.21,0.18,0.19,938,0.1942
2026-01-07 11:40:00,0.19,0.19,0.1,0.11,6592,0.1378
2026-01-07 11:45:00,0.11,0.12,0.09,0.11,1972,0.1069
2026-01-07 11:50:00,0.11,0.11,0.1,0.11,1444,0.1027
2026-01-07 11:55:00,0.1,0.11,0.09,0.1,2180,0.1026
