datetime,open,high,low,close,volume,vwap
2026-01-08 09:30:00,0.4,0.78,0.35,0.67,8586,0.5696
2026-01-08 09:35:00,0.69,0.86,0.51,0.85,4170,0.69
2026-01-08 09:40:00,0.86,1.38,0.66,1.3,7820,1.0584
2026-01-08 09:45:00,1.3,1.58,0.81,0.96,7546,1.1471
2026-01-08 09:50:00,0.99,1.28,0.82,0.98,4916,1.045
2026-01-08 09:55:00,0.98,1.4,0.92,1.38,6804,1.2041
2026-01-08 10:00:00,1.35,1.7,1.14,1.2,12759,1.4809
2026-01-08 10:05:00,1.2,1.26,0.63,0.67,6141,0.8861
2026-01-08 10:10:00,0.66,0.82,0.59,0.61,4212,0.6905
2026-01-08 10:15:00,0.61,0.66,0.47,0.54,6367,0.5635
2026-01-08 10:20:00,0.53,0.61,0.43,0.48,4083,0.5453
2026-01-08 10:25:00,0.49,0.53,0.38,0.45,2204,0.446
2026-01-08 10:30:00,0.45,0.64,0.41,0.61,1905,0.5368
2026-01-08 10:35:00,0.61,0.94,0.6,0.64,9989,0.7868
2026-01-08 10:40:00,0.64,0.71,0.46,0.5,3140,0.5517
2026-01-08 10:45:00,0.51,0.74,0.47,0.67,3776,0.6442
2026-01-08 10:50:00,0.67,1.03,0.63,1,5117,0.8321
2026-01-08 10:55:00,1,1.05,0.45,0.46,5957,0.8262
2026-01-08 11:00:00,0.45,0.55,0.45,0.48,3194,0.505
2026-01-08 11:05:00,0.47,0.79,0.46,0.73,3548,0.6781
2026-01-08 11:10:00,0.7,0.85,0.56,0.77,2636,0.7283
2026-01-08 11:15:00,0.78,0.98,0.65,0.7,2610,0.837
2026-01-08 11:20:00,0.68,0.78,0.49,0.73,2419,0.6192
2026-01-08 11:25:00,0.71,0.86,0.6,0.81,2684,0.7471
2026-01-08 11:30:00,0.84,0.96,0.7,0.85,4400,0.8321
2026-01-08 11:35:00,0.85,1.25,0.7,0.77,7056,1.014
2026-01-08 11:40:00,0.77,0.79,0.55,0.58,2911,0.6601
2026-01-08 11:45:00,0.57,0.58,0.4,0.44,3091,0.4625
2026-01-08 11:50:00,0.45,0.68,0.44,0.6,3724,0.5862
2026-01-08 11:55:00,0.59,0.65,0.39,0.4,2051,0.4872
2026-01-08 12:00:00,0.41,0.54,0.39,0.49,1734,0.4707
2026-01-08 12:05:00,0.5,0.58,0.44,0.51,1134,0.5123
2026-01-08 12:10:00,0.5,0.57,0.43,0.46,1899,0.505
2026-01-08 12:15:00,0.46,0.5,0.33,0.33,1185,0.4025
2026-01-08 12:20:00,0.33,0.42,0.31,0.42,3528,0.3611
2026-01-08 12:25:00,0.42,0.62,0.42,0.54,3669,0.5322
2026-01-08 12:30:00,0.54,0.54,0.34,0.36,1401,0.4072
2026-01-08 12:35:00,0.36,0.38,0.32,0.34,3430,0.3532
2026-01-08 12:40:00,0.35,0.36,0.28,0.31,1775,0.3209
2026-01-08 12:45:00,0.3,0.3,0.23,0.24,1328,0.2685
2026-01-08 12:50:00,0.24,0.24,0.17,0.2,4820,0.2013
2026-01-08 12:55:00,0.18,0.26,0.17,0.25,1632,0.2179
2026-01-08 13:00:00,0.25,0.32,0.23,0.27,1337,0.2758
2026-01-08 13:05:00,0.28,0.39,0.28,0.36,2802,0.3381
2026-01-08 13:10:00,0.34,0.64,0.34,0.61,4773,0.5244
2026-01-08 13:15:00,0.61,0.66,0.3,0.3,3074,0.5125
2026-01-08 13:20:00,0.28,0.41,0.25,0.35,1168,0.323
2026-01-08 13:25:00,0.33,0.38,0.26,0.29,901,0.3083
2026-01-08 13:30:00,0.3,0.33,0.27,0.32,693,0.301
2026-01-08 13:35:00,0.31,0.31,0.23,0.25,734,0.2626
2026-01-08 13:40:00,0.27,0.28,0.23,0.25,885,0.2501
2026-01-08 13:45:00,0.23,0.28,0.17,0.2,906,0.2047
2026-01-08 13:50:00,0.19,0.35,0.19,0.35,1887,0.2946
2026-01-08 13:55:00,0.34,0.45,0.32,0.37,1970,0.3993
2026-01-08 14:00:00,0.38,0.43,0.21,0.26,1165,0.3205
2026-01-08 14:05:00,0.26,0.29,0.21,0.25,612,0.2453
2026-01-08 14:10:00,0.27,0.5,0.27,0.5,3739,0.4414
2026-01-08 14:15:00,0.49,0.68,0.3,0.3,5904,0.5746
2026-01-08 14:20:00,0.31,0.4,0.23,0.35,2850,0.2943
2026-01-08 14:25:00,0.34,0.39,0.31,0.33,2624,0.3588
2026-01-08 14:30:00,0.32,0.32,0.21,0.27,1511,0.2444
2026-01-08 14:35:00,0.25,0.34,0.25,0.32,1026,0.3038
2026-01-08 14:40:00,0.32,0.38,0.26,0.31,1086,0.3323
2026-01-08 14:45:00,0.31,0.32,0.24,0.24,1374,0.2909
2026-01-08 14:50:00,0.24,0.25,0.16,0.19,1596,0.1945
2026-01-08 14:55:00,0.21,0.31,0.2,0.21,3810,0.2646
2026-01-08 15:00:00,0.21,0.23,0.15,0.17,2927,0.1966
2026-01-08 15:05:00,0.16,0.22,0.14,0.15,743,0.1824
2026-01-08 15:10:00,0.14,0.15,0.09,0.1,3689,0.1109
2026-01-08 15:15:00,0.09,0.12,0.08,0.11,1580,0.1007
2026-01-08 15:20:00,0.11,0.13,0.07,0.07,977,0.0854
2026-01-08 15:25:00,0.08,0.08,0.03,0.04,1967,0.0504
2026-01-08 15:30:00,0.04,0.06,0.03,0.05,2710,0.047
2026-01-08 15:35:00,0.05,0.05,0.04,0.04,1143,0.0433
2026-01-08 15:40:00,0.05,0.06,0.03,0.04,1757,0.0492
2026-01-08 15:45:00,0.03,0.04,0.02,0.02,1468,0.0263
2026-01-08 15:50:00,0.02,0.03,0.01,0.01,708,0.0209
2026-01-08 15:55:00,0.02,0.02,0.01,0.02,918,0.0116
2026-01-08 16:00:00,0.01,0.02,0.01,0.01,466,0.0146
2026-01-08 16:05:00,0.02,0.02,0.01,0.01,191,0.0109
