datetime,open,high,low,close,volume,vwap
2026-01-22 09:30:00,0.62,0.85,0.62,0.77,3705,0.7046
2026-01-22 09:35:00,0.8,1.02,0.64,0.77,4626,0.8424
2026-01-22 09:40:00,0.75,1.2,0.68,1.01,4445,0.9074
2026-01-22 09:45:00,0.99,2,0.91,1.76,10861,1.5611
2026-01-22 09:50:00,1.76,2,1.11,1.15,8079,1.5114
2026-01-22 09:55:00,1.15,1.83,1.08,1.57,8663,1.5738
2026-01-22 10:00:00,1.56,2.07,1.53,1.73,7642,1.8326
2026-01-22 10:05:00,1.73,2,1.61,1.82,5920,1.81
2026-01-22 10:10:00,1.78,1.82,1.41,1.71,5686,1.6434
2026-01-22 10:15:00,1.71,1.88,1.26,1.52,5369,1.5937
2026-01-22 10:20:00,1.54,1.75,1.06,1.73,6539,1.4223
2026-01-22 10:25:00,1.75,1.84,1.11,1.2,5095,1.477
2026-01-22 10:30:00,1.19,1.42,0.9,0.9,4448,1.1352
2026-01-22 10:35:00,0.91,1,0.77,0.81,3259,0.8867
2026-01-22 10:40:00,0.8,0.93,0.65,0.66,3530,0.7757
2026-01-22 10:45:00,0.65,0.69,0.58,0.68,2364,0.6293
2026-01-22 10:50:00,0.7,0.93,0.7,0.84,4973,0.7986
2026-01-22 10:55:00,0.86,0.96,0.79,0.92,6264,0.8928
2026-01-22 11:00:00,0.92,0.92,0.69,0.72,2230,0.7666
2026-01-22 11:05:00,0.7,0.75,0.58,0.59,2907,0.6403
2026-01-22 11:10:00,0.59,0.68,0.49,0.51,2907,0.5641
2026-01-22 11:15:00,0.51,0.59,0.44,0.48,2933,0.5057
2026-01-22 11:20:00,0.49,0.49,0.38,0.41,3540,0.4179
2026-01-22 11:25:00,0.4,0.43,0.34,0.39,1591,0.3766
2026-01-22 11:30:00,0.39,0.4,0.34,0.38,979,0.3716
2026-01-22 11:35:00,0.39,0.44,0.36,0.36,1663,0.3925
2026-01-22 11:40:00,0.37,0.38,0.3,0.35,830,0.3304
2026-01-22 11:45:00,0.34,0.34,0.28,0.3,1097,0.3091
2026-01-22 11:50:00,0.31,0.31,0.27,0.3,2470,0.2979
2026-01-22 11:55:00,0.3,0.4,0.29,0.38,2077,0.3631
2026-01-22 12:00:00,0.39,0.46,0.31,0.31,1794,0.3988
2026-01-22 12:05:00,0.32,0.35,0.25,0.28,998,0.2838
2026-01-22 12:10:00,0.28,0.3,0.25,0.26,712,0.2807
2026-01-22 12:15:00,0.26,0.34,0.25,0.29,1293,0.3034
2026-01-22 12:20:00,0.29,0.36,0.27,0.27,2037,0.329
2026-01-22 12:25:00,0.28,0.32,0.26,0.26,765,0.2861
2026-01-22 12:30:00,0.25,0.25,0.17,0.17,5419,0.1984
2026-01-22 12:35:00,0.17,0.21,0.17,0.2,1100,0.189
2026-01-22 12:40:00,0.2,0.2,0.17,0.19,667,0.1802
2026-01-22 12:45:00,0.18,0.18,0.15,0.16,1066,0.1662
2026-01-22 12:50:00,0.16,0.16,0.14,0.16,820,0.1553
2026-01-22 12:55:00,0.15,0.18,0.14,0.15,1093,0.1613
2026-01-22 13:00:00,0.15,0.2,0.13,0.14,848,0.1642
2026-01-22 13:05:00,0.14,0.17,0.14,0.16,196,0.1485
2026-01-22 13:10:00,0.15,0.21,0.15,0.2,293,0.1906
2026-01-22 13:15:00,0.19,0.21,0.17,0.19,738,0.1953
2026-01-22 13:20:00,0.19,0.19,0.15,0.15,418,0.1548
2026-01-22 13:25:00,0.15,0.17,0.15,0.16,391,0.1558
2026-01-22 13:30:00,0.16,0.17,0.12,0.13,825,0.1306
2026-01-22 13:35:00,0.13,0.14,0.12,0.12,1307,0.1294
2026-01-22 13:40:00,0.12,0.15,0.12,0.15,541,0.1216
2026-01-22 13:45:00,0.14,0.14,0.11,0.13,1726,0.1238
2026-01-22 13:50:00,0.13,0.15,0.12,0.15,535,0.1346
2026-01-22 13:55:00,0.15,0.2,0.15,0.18,544,0.1798
2026-01-22 14:00:00,0.18,0.18,0.1,0.1,4884,0.1122
2026-01-22 14:05:00,0.1,0.11,0.09,0.09,710,0.0999
2026-01-22 14:10:00,0.09,0.1,0.07,0.08,926,0.0881
2026-01-22 14:15:00,0.08,0.1,0.07,0.07,194,0.0829
2026-01-22 14:20:00,0.07,0.08,0.07,0.08,494,0.0738
2026-01-22 14:25:00,0.08,0.08,0.06,0.07,365,0.0685
