datetime,open,high,low,close,volume,vwap
2026-01-21 09:30:00,0.64,0.75,0.47,0.48,7274,0.5558
2026-01-21 09:35:00,0.46,0.62,0.38,0.5,7114,0.5127
2026-01-21 09:40:00,0.51,0.54,0.29,0.51,3700,0.4283
2026-01-21 09:45:00,0.53,0.62,0.47,0.59,6772,0.5339
2026-01-21 09:50:00,0.6,0.91,0.56,0.88,5823,0.7546
2026-01-21 09:55:00,0.86,1.26,0.79,1.08,8078,1.0374
2026-01-21 10:00:00,1.06,1.24,0.99,1.01,5207,1.1298
2026-01-21 10:05:00,1.02,1.14,0.92,0.95,3122,1.0297
2026-01-21 10:10:00,0.92,1.01,0.75,0.98,4874,0.8719
2026-01-21 10:15:00,0.99,1.48,0.94,1.14,10922,1.2107
2026-01-21 10:20:00,1.13,1.27,0.88,1.23,8481,1.0855
2026-01-21 10:25:00,1.24,1.52,1.12,1.42,7357,1.3452
2026-01-21 10:30:00,1.43,2.01,1.41,1.8,8841,1.65
2026-01-21 10:35:00,1.81,2.45,1.78,2.14,3481,2.2147
2026-01-21 10:40:00,2.14,2.57,2.11,2.41,1598,2.3827
2026-01-21 10:45:00,2.43,2.8,2.43,2.7,804,2.651
2026-01-21 10:50:00,2.85,3,2.56,2.97,1417,2.7447
2026-01-21 10:55:00,3,3,2.55,2.66,417,2.7129
2026-01-21 11:00:00,2.72,2.81,2.53,2.55,463,2.6327
2026-01-21 11:05:00,2.5,2.79,2.24,2.33,1323,2.4228
2026-01-21 11:10:00,2.4,3.03,2.3,2.35,1021,2.7068
2026-01-21 11:15:00,2.31,2.66,2.29,2.4,1079,2.4615
2026-01-21 11:20:00,2.35,2.54,2.18,2.49,565,2.2963
2026-01-21 11:25:00,2.38,2.69,2.13,2.35,365,2.382
2026-01-21 11:30:00,2.3,2.3,1.62,1.71,892,1.8113
2026-01-21 11:35:00,1.72,1.74,0.94,0.96,5130,1.205
2026-01-21 11:40:00,0.95,1,0.58,0.59,8066,0.8512
2026-01-21 11:45:00,0.59,0.63,0.46,0.56,5069,0.5468
2026-01-21 11:50:00,0.57,0.61,0.35,0.39,5896,0.4334
2026-01-21 11:55:00,0.38,0.41,0.25,0.27,3064,0.286
2026-01-21 12:00:00,0.26,0.36,0.23,0.24,3352,0.3083
2026-01-21 12:05:00,0.24,0.25,0.17,0.2,2143,0.2059
2026-01-21 12:10:00,0.19,0.2,0.12,0.13,2481,0.1394
2026-01-21 12:15:00,0.13,0.2,0.12,0.18,1706,0.1559
2026-01-21 12:20:00,0.18,0.2,0.15,0.19,853,0.1707
2026-01-21 12:25:00,0.19,0.23,0.15,0.18,2028,0.1763
2026-01-21 12:30:00,0.15,0.16,0.13,0.15,599,0.1415
2026-01-21 12:35:00,0.14,0.18,0.12,0.16,668,0.143
2026-01-21 12:40:00,0.15,0.17,0.12,0.12,593,0.1373
2026-01-21 12:45:00,0.12,0.13,0.1,0.13,3206,0.1115
2026-01-21 12:50:00,0.12,0.19,0.11,0.18,889,0.1527
2026-01-21 12:55:00,0.18,0.22,0.15,0.2,1167,0.1906
2026-01-21 13:00:00,0.18,0.2,0.09,0.09,3598,0.1465
2026-01-21 13:05:00,0.1,0.11,0.09,0.11,750,0.1018
2026-01-21 13:10:00,0.11,0.18,0.11,0.14,1666,0.1512
2026-01-21 13:15:00,0.15,0.15,0.1,0.11,238,0.1315
2026-01-21 13:20:00,0.1,0.11,0.08,0.08,751,0.0935
2026-01-21 13:25:00,0.08,0.14,0.08,0.13,472,0.1175
2026-01-21 13:30:00,0.13,0.15,0.12,0.15,893,0.1317
2026-01-21 13:35:00,0.14,0.15,0.08,0.09,607,0.1037
2026-01-21 13:40:00,0.1,0.1,0.08,0.08,347,0.0838
2026-01-21 13:45:00,0.08,0.16,0.07,0.16,4435,0.0849
2026-01-21 13:50:00,0.16,0.24,0.14,0.18,2144,0.199
2026-01-21 13:55:00,0.18,0.19,0.11,0.17,1410,0.1551
2026-01-21 14:00:00,0.17,0.18,0.1,0.1,1323,0.1207
2026-01-21 14:05:00,0.11,0.11,0.08,0.08,776,0.0863
2026-01-21 14:10:00,0.1,0.11,0.07,0.08,2451,0.0834
2026-01-21 14:15:00,0.08,0.08,0.06,0.08,622,0.0735
2026-01-21 14:20:00,0.08,0.1,0.06,0.08,1228,0.0638
2026-01-21 14:25:00,0.09,2.13,0.05,1.57,12431,1.0989
2026-01-21 14:30:00,1.65,2.69,1.51,2.31,8448,2.0031
2026-01-21 14:35:00,2.37,3.5,2.23,3.04,3654,2.8307
2026-01-21 14:40:00,3.12,4.59,2.83,4.2,697,3.6765
2026-01-21 14:45:00,4.34,5.69,4.34,5.51,542,5.1411
2026-01-21 14:50:00,5.5,6.23,4.5,5.35,254,5.3153
2026-01-21 14:55:00,5.41,6.11,5.31,6.11,108,5.7302
2026-01-21 15:00:00,6.24,6.24,5.08,5.42,67,5.4256
2026-01-21 15:05:00,5.33,5.46,4.62,5.32,84,5.0329
2026-01-21 15:10:00,5.25,5.25,4.85,4.96,432,4.9688
2026-01-21 15:15:00,4.95,4.97,3.82,3.82,209,4.6119
2026-01-21 15:20:00,3.9,4.1,3.52,3.56,70,3.8047
2026-01-21 15:25:00,3.75,3.75,2.59,2.59,285,3.1174
2026-01-21 15:30:00,2.47,3,2,2.83,811,2.4996
2026-01-21 15:35:00,3.09,3.23,2.8,2.8,131,2.9858
2026-01-21 15:40:00,3.01,3.01,2.33,2.33,401,2.4902
2026-01-21 15:45:00,2.42,2.63,2.24,2.49,497,2.4738
2026-01-21 15:50:00,2.08,2.36,1.68,2.28,377,1.8446
2026-01-21 15:55:00,2.17,2.34,1.83,1.91,407,2.1329
2026-01-21 16:00:00,2.58,2.81,2.24,2.7,36,2.588
2026-01-21 16:05:00,2.58,3.22,2.5,2.93,9,2.7255
2026-01-21 16:10:00,2.77,3.14,2.77,3.14,823,2.8701
