datetime,open,high,low,close,volume,vwap
2026-01-12 09:30:00,0.31,0.78,0.3,0.56,8424,0.5192
2026-01-12 09:35:00,0.7,0.92,0.61,0.79,7588,0.7572
2026-01-12 09:40:00,0.81,0.83,0.49,0.49,8563,0.6829
2026-01-12 09:45:00,0.49,0.59,0.37,0.57,10132,0.479
2026-01-12 09:50:00,0.58,1.08,0.54,0.7,20259,0.8372
2026-01-12 09:55:00,0.7,0.91,0.63,0.72,11884,0.7914
2026-01-12 10:00:00,0.73,0.77,0.49,0.52,9386,0.617
2026-01-12 10:05:00,0.52,0.61,0.45,0.57,5559,0.5396
2026-01-12 10:10:00,0.56,0.73,0.49,0.71,4879,0.6194
2026-01-12 10:15:00,0.7,0.76,0.54,0.69,6425,0.655
2026-01-12 10:20:00,0.69,0.95,0.64,0.8,11710,0.7895
2026-01-12 10:25:00,0.81,0.96,0.73,0.8,7551,0.8328
2026-01-12 10:30:00,0.8,0.81,0.45,0.53,7379,0.5868
2026-01-12 10:35:00,0.53,0.65,0.46,0.59,4657,0.5509
2026-01-12 10:40:00,0.58,0.59,0.39,0.46,4514,0.4478
2026-01-12 10:45:00,0.46,0.52,0.32,0.5,5912,0.3986
2026-01-12 10:50:00,0.5,0.59,0.42,0.56,3270,0.5143
2026-01-12 10:55:00,0.58,0.68,0.53,0.63,3678,0.6123
2026-01-12 11:00:00,0.63,0.69,0.52,0.6,5330,0.5967
2026-01-12 11:05:00,0.59,0.7,0.57,0.68,2720,0.6504
2026-01-12 11:10:00,0.68,0.9,0.67,0.9,9295,0.771
2026-01-12 11:15:00,0.9,1.09,0.85,0.94,12163,0.969
2026-01-12 11:20:00,0.93,1.04,0.72,0.83,5275,0.8343
2026-01-12 11:25:00,0.83,0.85,0.68,0.81,3901,0.7517
2026-01-12 11:30:00,0.81,0.88,0.71,0.82,3387,0.7957
2026-01-12 11:35:00,0.82,0.9,0.76,0.78,3153,0.84
2026-01-12 11:40:00,0.79,0.9,0.63,0.64,2451,0.7201
2026-01-12 11:45:00,0.64,0.77,0.52,0.73,5404,0.6587
2026-01-12 11:50:00,0.74,1,0.73,0.97,9918,0.8736
2026-01-12 11:55:00,0.99,1.1,0.95,0.97,6975,1.0331
2026-01-12 12:00:00,0.97,1.12,0.85,1.03,4171,1.0286
2026-01-12 12:05:00,1.01,1.05,0.84,0.85,2192,0.9181
2026-01-12 12:10:00,0.86,1.15,0.85,1.09,5862,1.04
2026-01-12 12:15:00,1.08,1.09,0.85,0.89,2668,0.9548
2026-01-12 12:20:00,0.89,1.08,0.87,0.88,3690,1.0071
2026-01-12 12:25:00,0.86,0.95,0.78,0.95,4466,0.8576
2026-01-12 12:30:00,0.93,0.94,0.75,0.78,2256,0.8338
2026-01-12 12:35:00,0.79,0.81,0.63,0.66,2727,0.7221
2026-01-12 12:40:00,0.66,0.91,0.64,0.87,4240,0.7999
2026-01-12 12:45:00,0.86,1.07,0.83,1.03,4164,0.9905
2026-01-12 12:50:00,1.02,1.04,0.88,1.02,2444,0.9683
2026-01-12 12:55:00,1.01,1.04,0.95,0.97,1027,0.9943
2026-01-12 13:00:00,0.98,1.13,0.93,1.11,3265,1.0548
2026-01-12 13:05:00,1.12,1.35,1.11,1.24,4294,1.2258
2026-01-12 13:10:00,1.26,1.29,1.13,1.22,1642,1.2299
2026-01-12 13:15:00,1.21,1.22,1.03,1.16,2073,1.1212
2026-01-12 13:20:00,1.17,1.47,1.17,1.37,2589,1.3405
2026-01-12 13:25:00,1.35,1.38,1.25,1.3,582,1.3148
2026-01-12 13:30:00,1.35,1.35,1.13,1.16,557,1.2072
2026-01-12 13:35:00,1.17,1.22,1.08,1.17,836,1.1618
2026-01-12 13:40:00,1.19,1.21,1.08,1.13,417,1.1551
2026-01-12 13:45:00,1.15,1.29,1.06,1.21,673,1.1875
2026-01-12 13:50:00,1.23,1.32,1,1,1620,1.1028
2026-01-12 13:55:00,1.02,1.07,0.97,1.03,1063,1.0255
