datetime,open,high,low,close,volume,vwap
2026-01-12 09:30:00,0.46,1.16,0.46,0.9,7638,0.8363
2026-01-12 09:35:00,1.07,1.38,0.98,1.26,11446,1.1813
2026-01-12 09:40:00,1.27,1.31,0.82,0.84,9406,1.0715
2026-01-12 09:45:00,0.84,1,0.66,0.95,8617,0.7951
2026-01-12 09:50:00,0.98,1.66,0.93,1.18,14259,1.3489
2026-01-12 09:55:00,1.17,1.45,1.09,1.21,6304,1.3015
2026-01-12 10:00:00,1.22,1.28,0.88,0.91,5731,1.0657
2026-01-12 10:05:00,0.92,1.06,0.83,0.98,5235,0.9649
2026-01-12 10:10:00,0.98,1.22,0.86,1.22,6727,1.0606
2026-01-12 10:15:00,1.21,1.28,0.96,1.19,6332,1.1375
2026-01-12 10:20:00,1.17,1.54,1.11,1.35,12562,1.3268
2026-01-12 10:25:00,1.34,1.56,1.25,1.35,7347,1.3703
2026-01-12 10:30:00,1.34,1.37,0.85,0.96,5513,1.0319
2026-01-12 10:35:00,0.96,1.15,0.87,1.07,4680,0.99
2026-01-12 10:40:00,1.07,1.09,0.77,0.87,6658,0.8615
2026-01-12 10:45:00,0.87,0.98,0.66,0.95,7546,0.8001
2026-01-12 10:50:00,0.94,1.1,0.81,1.05,4486,0.9678
2026-01-12 10:55:00,1.07,1.22,1.01,1.16,6063,1.1117
2026-01-12 11:00:00,1.15,1.25,0.99,1.12,3784,1.1361
2026-01-12 11:05:00,1.12,1.28,1.09,1.25,3155,1.2086
2026-01-12 11:10:00,1.25,1.57,1.25,1.57,5932,1.378
2026-01-12 11:15:00,1.56,1.8,1.51,1.62,4910,1.6606
2026-01-12 11:20:00,1.61,1.73,1.35,1.5,1495,1.5077
2026-01-12 11:25:00,1.51,1.51,1.28,1.46,1236,1.4031
2026-01-12 11:30:00,1.46,1.55,1.3,1.48,2801,1.442
2026-01-12 11:35:00,1.5,1.6,1.41,1.43,1697,1.5202
2026-01-12 11:40:00,1.46,1.6,1.25,1.27,1184,1.356
2026-01-12 11:45:00,1.26,1.44,1.11,1.4,2616,1.2715
2026-01-12 11:50:00,1.41,1.76,1.39,1.75,2577,1.5673
2026-01-12 11:55:00,1.75,1.88,1.7,1.71,1938,1.7852
2026-01-12 12:00:00,1.71,1.92,1.58,1.78,1004,1.7914
2026-01-12 12:05:00,1.78,1.83,1.56,1.59,891,1.7004
2026-01-12 12:10:00,1.6,1.96,1.6,1.86,1460,1.8071
2026-01-12 12:15:00,1.87,1.9,1.58,1.62,2023,1.6645
2026-01-12 12:20:00,1.62,1.88,1.62,1.62,1251,1.7836
2026-01-12 12:25:00,1.6,1.74,1.48,1.74,1017,1.5942
2026-01-12 12:30:00,1.7,1.7,1.46,1.51,709,1.5709
2026-01-12 12:35:00,1.52,1.54,1.3,1.34,788,1.4389
2026-01-12 12:40:00,1.34,1.69,1.3,1.65,1086,1.5263
2026-01-12 12:45:00,1.65,1.88,1.65,1.83,1006,1.7953
2026-01-12 12:50:00,1.83,1.86,1.64,1.86,659,1.75
2026-01-12 12:55:00,1.82,1.86,1.75,1.8,516,1.8236
2026-01-12 13:00:00,1.78,1.99,1.72,1.99,762,1.9136
2026-01-12 13:05:00,2,2.26,2,2.11,1682,2.0402
2026-01-12 13:10:00,2.15,2.19,2.04,2.11,231,2.1145
2026-01-12 13:15:00,2.07,2.1,1.9,2.05,768,1.9521
2026-01-12 13:20:00,2.09,2.38,2.09,2.33,354,2.2758
2026-01-12 13:25:00,2.25,2.29,2.15,2.23,171,2.2274
2026-01-12 13:30:00,2.29,2.29,2,2.06,122,2.1887
2026-01-12 13:35:00,2.03,2.14,1.98,2.1,202,2.0436
2026-01-12 13:40:00,2.08,2.09,1.96,2.09,41,2.0195
2026-01-12 13:45:00,2,2.2,1.99,2.17,87,2.0249
2026-01-12 13:50:00,2.2,2.25,1.92,1.92,147,2.0371
2026-01-12 13:55:00,1.89,1.98,1.88,1.95,156,1.9151
2026-01-12 14:00:00,1.9,1.92,1.63,1.7,558,1.7318
2026-01-12 14:05:00,1.67,1.95,1.61,1.94,354,1.8188
2026-01-12 14:10:00,1.91,2,1.89,1.99,459,1.963
2026-01-12 14:15:00,2.02,2.21,1.9,2.13,270,2.0057
2026-01-12 14:20:00,2.22,2.3,2.13,2.29,210,2.2205
2026-01-12 14:25:00,2.3,2.46,2.21,2.35,548,2.3708
2026-01-12 14:30:00,2.37,2.74,2.37,2.65,300,2.555
2026-01-12 14:35:00,2.68,2.71,2.56,2.59,150,2.6479
2026-01-12 14:40:00,2.54,2.63,2.48,2.55,64,2.586
2026-01-12 14:45:00,2.55,2.65,2.54,2.58,118,2.6069
2026-01-12 14:50:00,2.58,2.63,2.52,2.58,39,2.5656
2026-01-12 14:55:00,2.53,2.77,2.53,2.77,130,2.6798
2026-01-12 15:00:00,2.74,2.83,2.48,2.48,221,2.6786
2026-01-12 15:05:00,2.49,2.56,2.45,2.5,731,2.508
2026-01-12 15:10:00,2.45,2.58,2.34,2.42,119,2.4461
2026-01-12 15:15:00,2.4,2.4,2.23,2.26,108,2.3014
2026-01-12 15:20:00,2.29,2.29,2.08,2.08,107,2.1736
2026-01-12 15:25:00,2.09,2.25,2.09,2.19,183,2.1994
2026-01-12 15:30:00,2.15,2.28,2,2.16,330,2.0853
2026-01-12 15:35:00,2.12,2.12,1.97,1.98,208,2.0425
2026-01-12 15:40:00,1.98,1.98,1.74,1.87,306,1.8303
2026-01-12 15:45:00,1.85,2.1,1.78,2,598,1.9301
2026-01-12 15:50:00,1.94,1.97,1.38,1.69,3100,1.5024
2026-01-12 15:55:00,1.69,1.69,1.23,1.23,229,1.4562
2026-01-12 16:00:00,1.2,1.37,1.2,1.35,355,1.2565
2026-01-12 16:05:00,1.22,1.51,1.15,1.15,1310,1.3963
2026-01-12 16:10:00,1.33,1.58,1.32,1.58,855,1.3325
