datetime,open,high,low,close,volume,vwap
2026-01-02 09:30:00,1.13,1.13,0.65,0.95,815,0.9456
2026-01-02 09:35:00,0.94,1.2,0.89,1.2,272,1.0189
2026-01-02 09:40:00,1.21,1.28,0.97,1.01,370,1.1131
2026-01-02 09:45:00,0.96,0.97,0.67,0.72,402,0.7906
2026-01-02 09:50:00,0.7,0.76,0.57,0.7,305,0.6352
2026-01-02 09:55:00,0.68,0.73,0.65,0.72,186,0.6859
2026-01-02 10:00:00,0.69,0.71,0.56,0.71,94,0.6351
2026-01-02 10:05:00,0.71,0.86,0.69,0.86,460,0.7387
2026-01-02 10:10:00,0.85,1.6,0.85,1.53,328,1.2258
2026-01-02 10:15:00,1.57,2,1.48,1.82,1098,1.746
2026-01-02 10:20:00,1.81,2.85,1.81,2.79,998,2.6317
2026-01-02 10:25:00,2.75,3.15,2.48,2.63,1188,2.836
2026-01-02 10:30:00,2.7,2.91,1.97,2.07,447,2.464
2026-01-02 10:35:00,2.05,2.16,1.81,1.89,356,2.0119
2026-01-02 10:40:00,1.83,1.88,1.39,1.55,838,1.4918
2026-01-02 10:45:00,1.5,2.08,1.46,2.08,596,1.742
2026-01-02 10:50:00,2.07,3.24,2.05,2.71,898,2.6825
2026-01-02 10:55:00,2.73,4.4,2.58,4.23,515,3.4465
2026-01-02 11:00:00,4.38,4.86,4.23,4.23,253,4.6012
2026-01-02 11:05:00,4.77,5,4.36,4.41,328,4.7744
2026-01-02 11:10:00,4.53,5.08,4,4,213,4.3874
2026-01-02 11:15:00,3.95,4.68,3.62,4.48,123,3.8887
2026-01-02 11:20:00,4.37,4.72,3.71,3.71,47,4.1251
2026-01-02 11:25:00,3.81,3.95,3.5,3.8,117,3.7279
2026-01-02 11:30:00,4,4.07,3.2,3.31,131,3.5683
2026-01-02 11:35:00,3.28,3.85,3.2,3.85,184,3.4812
2026-01-02 11:40:00,3.89,4.03,3.89,3.9,56,3.9705
2026-01-02 11:45:00,4.1,4.24,3.91,4.24,92,4.0763
2026-01-02 11:50:00,4.23,4.94,4.21,4.9,95,4.4652
2026-01-02 11:55:00,4.8,4.92,4.38,4.38,49,4.7845
2026-01-02 12:00:00,4.33,4.68,4.33,4.68,5,4.53
2026-01-02 12:05:00,4.16,4.39,4.08,4.38,20,4.2335
2026-01-02 12:10:00,4.08,4.08,3.5,3.64,108,3.6818
2026-01-02 12:15:00,3.48,3.62,3.48,3.51,36,3.5333
2026-01-02 12:20:00,3.69,3.9,3.61,3.74,136,3.7237
2026-01-02 12:25:00,3.66,3.83,3.63,3.63,45,3.7413
2026-01-02 12:30:00,3.41,3.83,3.41,3.76,81,3.5095
2026-01-02 12:35:00,3.72,3.85,3.72,3.85,62,3.8055
2026-01-02 12:40:00,3.79,3.95,3.62,3.79,48,3.7648
2026-01-02 12:45:00,3.77,4.69,3.64,4.69,151,4.1945
2026-01-02 12:50:00,4.49,4.49,4.37,4.48,10,4.444
2026-01-02 12:55:00,4.48,4.71,4.48,4.68,86,4.6735
2026-01-02 13:00:00,4.38,4.38,4.07,4.07,31,4.1636
2026-01-02 13:05:00,4.5,4.62,4.44,4.62,33,4.5288
2026-01-02 13:10:00,4.43,4.66,4.28,4.65,50,4.5008
2026-01-02 13:15:00,4.78,4.78,4.07,4.09,71,4.0966
2026-01-02 13:20:00,4.16,4.29,3.85,4.29,134,3.9889
2026-01-02 13:25:00,4.34,4.42,4.28,4.35,19,4.3442
2026-01-02 13:30:00,4.35,4.58,4.35,4.58,7,4.4071
2026-01-02 13:35:00,4.5,4.5,4.49,4.49,6,4.495
2026-01-02 13:40:00,4.49,4.49,4.37,4.39,25,4.4252
2026-01-02 13:45:00,4.1,5.09,4.1,5.02,18,4.4545
2026-01-02 13:50:00,5.38,5.53,5.38,5.53,3,5.47
2026-01-02 13:55:00,5.3,5.4,5.16,5.16,60,5.1928
2026-01-02 14:00:00,4.8,4.81,4.72,4.72,16,4.7925
2026-01-02 14:05:00,4.65,4.65,3.93,3.93,70,4.2763
2026-01-02 14:10:00,3.79,3.8,3.37,3.41,20,3.564
2026-01-02 14:15:00,3.42,3.62,3.36,3.62,51,3.5647
2026-01-02 14:20:00,3.65,3.72,3.09,3.09,92,3.2987
2026-01-02 14:25:00,3.02,3.25,3,3.17,30,3.1187
2026-01-02 14:30:00,2.87,2.95,2.73,2.73,199,2.8206
2026-01-02 14:35:00,2.72,2.77,2.5,2.6,91,2.6247
2026-01-02 14:40:00,2.5,2.73,2.46,2.72,290,2.5861
2026-01-02 14:45:00,2.68,2.84,2.6,2.73,469,2.6774
2026-01-02 14:50:00,2.67,3.01,2.67,2.9,280,2.8896
2026-01-02 14:55:00,2.96,3.33,2.9,3.13,179,3.0918
2026-01-02 15:00:00,3.23,3.31,2.91,2.99,102,3.0891
2026-01-02 15:05:00,2.96,3.14,2.95,2.99,51,3.0384
2026-01-02 15:10:00,2.9,2.92,2.68,2.79,150,2.7843
2026-01-02 15:15:00,2.85,2.9,2.54,2.57,117,2.786
2026-01-02 15:20:00,2.53,2.72,2.5,2.68,104,2.5874
2026-01-02 15:25:00,2.72,2.87,2.57,2.65,228,2.7245
2026-01-02 15:30:00,2.69,2.95,2.64,2.92,645,2.798
2026-01-02 15:35:00,2.89,2.9,2.67,2.87,575,2.7095
2026-01-02 15:40:00,2.92,3.24,2.92,3.24,537,3.1052
2026-01-02 15:45:00,3.2,3.61,3.11,3.5,107,3.4059
2026-01-02 15:50:00,3.53,3.53,3.09,3.19,267,3.3097
2026-01-02 15:55:00,3.46,3.65,3.2,3.32,366,3.412
2026-01-02 16:00:00,2.97,3.16,2.94,3.16,108,3.0184
2026-01-02 16:05:00,3.19,3.2,3.06,3.06,312,3.1476
2026-01-02 16:10:00,3.07,3.25,3.07,3.13,80,3.2109
2026-01-05 09:30:00,0.61,0.85,0.43,0.76,3878,0.6602
2026-01-05 09:35:00,0.77,0.9,0.65,0.84,4378,0.7856
2026-01-05 09:40:00,0.83,1.02,0.56,0.61,7096,0.7636
2026-01-05 09:45:00,0.61,0.84,0.49,0.61,5659,0.6578
2026-01-05 09:50:00,0.62,0.75,0.51,0.56,2779,0.626
2026-01-05 09:55:00,0.56,0.74,0.49,0.62,2442,0.5961
2026-01-05 10:00:00,0.55,0.72,0.38,0.41,3322,0.5213
2026-01-05 10:05:00,0.4,0.46,0.34,0.35,2691,0.4008
2026-01-05 10:10:00,0.34,0.42,0.34,0.35,1210,0.3784
2026-01-05 10:15:00,0.34,0.38,0.27,0.27,2266,0.31
2026-01-05 10:20:00,0.27,0.31,0.24,0.24,1277,0.2687
2026-01-05 10:25:00,0.25,0.3,0.19,0.21,1572,0.2216
2026-01-05 10:30:00,0.2,0.21,0.17,0.19,1604,0.1923
