datetime,open,high,low,close,volume,vwap
2026-01-26 09:30:00,2.08,2.74,1.62,1.69,2233,2.0328
2026-01-26 09:35:00,1.66,1.7,1.38,1.38,2663,1.5082
2026-01-26 09:40:00,1.38,1.63,1.07,1.11,5785,1.2822
2026-01-26 09:45:00,1.09,1.18,0.95,1.14,8055,1.0382
2026-01-26 09:50:00,1.14,1.16,0.86,0.99,7204,1.0136
2026-01-26 09:55:00,0.98,0.99,0.75,0.86,6375,0.8407
2026-01-26 10:00:00,0.87,0.94,0.79,0.82,3155,0.8628
2026-01-26 10:05:00,0.82,0.93,0.73,0.93,3696,0.8241
2026-01-26 10:10:00,0.93,1.06,0.7,0.72,12732,0.9273
2026-01-26 10:15:00,0.72,0.78,0.48,0.49,8899,0.6225
2026-01-26 10:20:00,0.49,0.49,0.42,0.46,5513,0.4507
2026-01-26 10:25:00,0.45,0.68,0.44,0.65,4627,0.5702
2026-01-26 10:30:00,0.64,0.7,0.48,0.53,3175,0.6001
2026-01-26 10:35:00,0.54,0.59,0.43,0.51,3083,0.4717
2026-01-26 10:40:00,0.51,0.69,0.5,0.65,5405,0.6034
2026-01-26 10:45:00,0.65,0.65,0.45,0.46,2674,0.5166
2026-01-26 10:50:00,0.46,0.46,0.35,0.39,4706,0.4036
2026-01-26 10:55:00,0.39,0.43,0.35,0.4,3004,0.3805
2026-01-26 11:00:00,0.41,0.49,0.36,0.4,3021,0.413
2026-01-26 11:05:00,0.4,0.44,0.36,0.37,3416,0.3939
2026-01-26 11:10:00,0.37,0.4,0.35,0.38,1043,0.3747
2026-01-26 11:15:00,0.37,0.48,0.36,0.45,3286,0.4223
2026-01-26 11:20:00,0.45,0.53,0.32,0.33,4054,0.4242
2026-01-26 11:25:00,0.34,0.36,0.27,0.27,3455,0.3066
2026-01-26 11:30:00,0.28,0.28,0.21,0.27,6155,0.244
2026-01-26 11:35:00,0.27,0.29,0.23,0.25,1017,0.2546
2026-01-26 11:40:00,0.26,0.28,0.25,0.26,573,0.2653
2026-01-26 11:45:00,0.26,0.29,0.24,0.27,1870,0.2693
2026-01-26 11:50:00,0.28,0.28,0.23,0.24,432,0.2443
2026-01-26 11:55:00,0.25,0.25,0.22,0.23,613,0.2358
2026-01-26 12:00:00,0.24,0.24,0.15,0.15,1740,0.1838
2026-01-26 12:05:00,0.15,0.18,0.15,0.17,3526,0.1552
2026-01-26 12:10:00,0.18,0.19,0.17,0.18,528,0.1765
2026-01-26 12:15:00,0.18,0.18,0.16,0.18,606,0.1707
2026-01-26 12:20:00,0.17,0.17,0.14,0.15,889,0.1641
