datetime,open,high,low,close,volume,vwap
2026-01-06 09:30:00,0.39,0.61,0.3,0.32,6079,0.435
2026-01-06 09:35:00,0.31,0.46,0.25,0.3,10227,0.3342
2026-01-06 09:40:00,0.24,0.38,0.19,0.38,8261,0.2254
2026-01-06 09:45:00,0.38,0.74,0.36,0.66,21004,0.5739
2026-01-06 09:50:00,0.67,1.07,0.63,0.84,21246,0.8364
2026-01-06 09:55:00,0.83,1.22,0.77,1.05,16733,1.0439
2026-01-06 10:00:00,1.06,1.33,0.85,0.95,15477,1.1068
2026-01-06 10:05:00,0.95,1.21,0.81,0.84,7272,1.0504
2026-01-06 10:10:00,0.85,1.09,0.7,1.01,7710,0.9136
2026-01-06 10:15:00,1.01,1.18,0.85,0.99,5767,1.029
2026-01-06 10:20:00,0.98,1.17,0.75,1.12,6637,1.0135
2026-01-06 10:25:00,1.12,1.3,1,1.17,5751,1.1813
2026-01-06 10:30:00,1.17,1.2,0.89,0.94,3228,1.0021
2026-01-06 10:35:00,0.95,1.01,0.7,0.8,6017,0.8488
2026-01-06 10:40:00,0.8,0.86,0.54,0.58,10281,0.7026
2026-01-06 10:45:00,0.57,0.64,0.49,0.58,9532,0.5664
2026-01-06 10:50:00,0.58,0.65,0.35,0.39,8976,0.4933
2026-01-06 10:55:00,0.39,0.39,0.29,0.33,5636,0.3406
2026-01-06 11:00:00,0.32,0.32,0.2,0.22,10206,0.2571
2026-01-06 11:05:00,0.21,0.25,0.16,0.24,5785,0.1995
2026-01-06 11:10:00,0.24,0.27,0.21,0.22,3347,0.249
2026-01-06 11:15:00,0.21,0.24,0.17,0.24,2100,0.2098
2026-01-06 11:20:00,0.24,0.36,0.19,0.29,2893,0.2798
2026-01-06 11:25:00,0.29,0.31,0.19,0.21,2440,0.2177
2026-01-06 11:30:00,0.2,0.28,0.18,0.27,2950,0.2261
2026-01-06 11:35:00,0.27,0.27,0.16,0.22,2080,0.1889
2026-01-06 11:40:00,0.23,0.24,0.13,0.14,4210,0.1814
2026-01-06 11:45:00,0.14,0.21,0.13,0.2,3413,0.1768
2026-01-06 11:50:00,0.2,0.25,0.19,0.2,1812,0.2106
2026-01-06 11:55:00,0.2,0.22,0.13,0.21,1329,0.1584
2026-01-06 12:00:00,0.2,0.21,0.13,0.15,997,0.1527
2026-01-06 12:05:00,0.16,0.3,0.15,0.24,4917,0.2621
2026-01-06 12:10:00,0.25,0.31,0.22,0.27,3372,0.2777
2026-01-06 12:15:00,0.28,0.3,0.22,0.24,3574,0.2654
2026-01-06 12:20:00,0.25,0.49,0.25,0.4,15100,0.4093
2026-01-06 12:25:00,0.41,0.52,0.38,0.4,6652,0.4562
2026-01-06 12:30:00,0.41,0.73,0.41,0.71,6920,0.5921
2026-01-06 12:35:00,0.7,1.16,0.67,0.9,8836,0.8888
2026-01-06 12:40:00,0.91,0.97,0.71,0.83,2834,0.8592
2026-01-06 12:45:00,0.84,0.9,0.54,0.65,3963,0.739
2026-01-06 12:50:00,0.65,0.73,0.57,0.68,3212,0.6552
2026-01-06 12:55:00,0.7,0.73,0.63,0.67,2396,0.6863
2026-01-06 13:00:00,0.68,0.7,0.58,0.6,1818,0.6516
2026-01-06 13:05:00,0.59,0.63,0.47,0.58,3540,0.5373
