ticker,volume,open,close,high,low,window_start,transactions
QQQ,9227,636.13,636.04,636.36,635.43,1769590800000000000,189
QQQ,2765,636.01,635.91,636.1,635.91,1769590860000000000,80
QQQ,902,635.88,636.0,636.04,635.88,1769590920000000000,48
QQQ,5426,636.0,635.97,636.01,635.93,1769590980000000000,105
QQQ,1736,635.9,635.9,635.91,635.86,1769591040000000000,63
QQQ,2769,635.97,635.65,635.97,635.65,1769591100000000000,73
QQQ,1814,635.71,635.62,635.71,635.62,1769591160000000000,41
QQQ,2278,635.63,635.77,635.77,635.61,1769591220000000000,50
QQQ,1876,635.76,635.7,635.82,635.7,1769591280000000000,44
QQQ,2990,635.75,636.07,636.08,635.75,1769591340000000000,49
QQQ,4545,636.06,636.09,636.09,635.96,1769591400000000000,86
QQQ,1125,636.07,636.23,636.23,636.07,1769591460000000000,42
QQQ,3345,636.21,635.99,636.23,635.96,1769591520000000000,70
QQQ,728,636.04,636.0,636.04,636.0,1769591580000000000,26
QQQ,71,636.01,636.01,636.01,636.01,1769591640000000000,12
QQQ,897,635.88,635.89,635.94,635.88,1769591700000000000,24
QQQ,359,636.01,636.09,636.09,635.94,1769591760000000000,21
QQQ,1914,636.03,636.0,636.03,635.96,1769591820000000000,33
QQQ,1708,636.02,636.0,636.06,636.0,1769591880000000000,44
QQQ,1487,635.99,635.82,635.99,635.82,1769591940000000000,40
QQQ,3676,635.85,635.74,635.85,635.62,1769592000000000000,67
QQQ,1610,635.73,635.82,635.87,635.73,1769592060000000000,41
QQQ,173,635.76,635.76,635.76,635.76,1769592120000000000,14
QQQ,1225,635.71,635.65,635.71,635.65,1769592180000000000,38
QQQ,431,635.82,635.72,635.82,635.72,1769592240000000000,22
QQQ,4494,635.63,635.64,635.67,635.57,1769592300000000000,80
QQQ,820,635.64,635.66,635.66,635.59,1769592360000000000,12
QQQ,2211,635.6,635.65,635.66,635.58,1769592420000000000,38
QQQ,1133,635.63,635.75,635.81,635.63,1769592480000000000,25
QQQ,1104,635.72,635.71,635.79,635.71,1769592540000000000,19
QQQ,888,635.71,635.62,635.78,635.62,1769592600000000000,22
QQQ,1187,635.62,635.59,635.63,635.57,1769592660000000000,29
QQQ,2926,635.6,635.52,635.61,635.5,1769592720000000000,61
QQQ,2901,635.61,635.75,635.76,635.61,1769592780000000000,76
QQQ,163,635.72,635.69,635.72,635.69,1769592840000000000,5
QQQ,1557,635.68,635.76,635.76,635.68,1769592900000000000,43
QQQ,846,635.85,635.97,635.97,635.85,1769592960000000000,34
QQQ,2149,636.0,635.9,636.0,635.9,1769593020000000000,52
QQQ,3068,635.88,635.85,635.9,635.85,1769593080000000000,49
QQQ,599,635.81,635.81,635.81,635.81,1769593140000000000,18
QQQ,704,635.82,635.79,635.83,635.79,1769593200000000000,21
QQQ,2435,635.74,635.8,635.81,635.74,1769593260000000000,41
QQQ,2952,635.82,635.97,635.97,635.82,1769593320000000000,59
QQQ,2052,635.95,635.9,635.97,635.86,1769593380000000000,51
QQQ,759,635.91,636.02,636.02,635.91,1769593440000000000,18
QQQ,3483,636.04,636.02,636.06,636.02,1769593500000000000,39
QQQ,516,636.1,636.11,636.13,636.1,1769593560000000000,11
QQQ,2745,635.99,635.99,636.0,635.96,1769593620000000000,53
QQQ,1098,636.01,635.96,636.01,635.93,1769593680000000000,43
QQQ,951,635.92,635.98,635.98,635.91,1769593740000000000,34
QQQ,1596,636.01,636.1,636.13,636.01,1769593800000000000,46
QQQ,1886,636.11,636.3,636.3,636.11,1769593860000000000,41
QQQ,3043,636.29,636.36,636.37,636.29,1769593920000000000,65
