ticker,volume,open,close,high,low,window_start,transactions
QQQ,8975,617.7,617.68,618.02,617.65,1767690000000000000,161
QQQ,2609,617.75,617.57,617.85,617.57,1767690060000000000,54
QQQ,883,617.5,617.59,617.7,617.5,1767690120000000000,22
QQQ,1588,617.6,617.57,617.62,617.57,1767690180000000000,23
QQQ,987,617.65,617.73,617.75,617.65,1767690240000000000,22
QQQ,1011,617.71,617.75,617.76,617.71,1767690300000000000,32
QQQ,2798,617.72,617.76,617.83,617.67,1767690360000000000,52
QQQ,2107,617.74,617.67,617.78,617.67,1767690420000000000,36
QQQ,745,617.6,617.42,617.6,617.38,1767690480000000000,31
QQQ,867,617.39,617.58,617.58,617.39,1767690540000000000,25
QQQ,1366,617.68,617.76,617.77,617.62,1767690600000000000,33
QQQ,284,617.71,617.69,617.71,617.69,1767690660000000000,10
QQQ,2085,617.81,617.91,617.91,617.8,1767690720000000000,47
QQQ,5828,617.93,617.94,617.95,617.88,1767690780000000000,31
QQQ,1115,617.88,617.89,617.95,617.84,1767690840000000000,27
QQQ,728,617.87,617.89,617.89,617.84,1767690900000000000,17
QQQ,4251,617.91,618.02,618.03,617.91,1767690960000000000,71
QQQ,2412,618.04,618.01,618.04,617.95,1767691020000000000,48
QQQ,219,617.73,617.72,617.73,617.72,1767691080000000000,16
QQQ,1083,617.69,617.81,617.82,617.69,1767691140000000000,27
QQQ,684,617.81,617.74,617.81,617.72,1767691200000000000,22
QQQ,331,617.73,617.68,617.73,617.68,1767691260000000000,10
QQQ,493,617.68,617.64,617.68,617.64,1767691320000000000,14
QQQ,2639,617.63,617.57,617.63,617.49,1767691380000000000,43
QQQ,1647,617.64,617.7,617.75,617.64,1767691440000000000,32
QQQ,288,617.71,617.74,617.74,617.71,1767691500000000000,10
QQQ,951,617.74,617.71,617.75,617.7,1767691560000000000,24
QQQ,423,617.68,617.59,617.68,617.59,1767691620000000000,15
QQQ,504,617.6,617.62,617.63,617.56,1767691680000000000,15
QQQ,1023,617.63,617.67,617.68,617.63,1767691740000000000,22
QQQ,2351,617.63,617.68,617.8,617.63,1767691800000000000,33
QQQ,118,617.74,617.74,617.74,617.74,1767691860000000000,6
QQQ,1051,617.67,617.58,617.67,617.58,1767691920000000000,25
QQQ,1271,617.63,617.65,617.67,617.63,1767691980000000000,27
QQQ,694,617.59,617.6,617.6,617.54,1767692040000000000,22
QQQ,12538,617.7,617.82,617.83,617.67,1767692100000000000,119
QQQ,597,617.81,617.8,617.81,617.76,1767692160000000000,21
QQQ,1504,617.87,617.87,617.95,617.87,1767692220000000000,33
QQQ,1556,617.84,617.82,617.84,617.77,1767692280000000000,28
QQQ,626,617.89,617.84,617.89,617.84,1767692340000000000,16
QQQ,1247,617.99,618.03,618.03,617.99,1767692400000000000,23
QQQ,207,618.08,618.0,618.08,618.0,1767692460000000000,5
QQQ,559,617.98,618.03,618.03,617.98,1767692520000000000,18
QQQ,390,617.98,618.03,618.03,617.98,1767692580000000000,10
QQQ,322,618.11,618.11,618.11,618.11,1767692640000000000,17
QQQ,416,618.05,618.02,618.05,618.02,1767692700000000000,15
QQQ,726,618.01,617.99,618.01,617.98,1767692760000000000,24
QQQ,424,618.02,618.0,618.02,618.0,1767692820000000000,11
QQQ,962,617.91,618.05,618.05,617.91,1767692880000000000,25
QQQ,302,618.04,618.09,618.09,618.04,1767692940000000000,10
QQQ,1295,618.12,617.98,618.12,617.95,1767693000000000000,39
QQQ,643,618.0,618.07,618.07,618.0,1767693060000000000,13
QQQ,720,618.07,618.04,618.07,618.0,1767693120000000000,17
QQQ,233,618.01,618.03,618.03,618.01,1767693180000000000,9
QQQ,26706,618.03,618.23,618.54,618.03,1767693240000000000,376
QQQ,1503,618.28,618.29,618.33,618.28,1767693300000000000,27
QQQ,1682,618.25,618.11,618.25,618.1,1767693360000000000,37
QQQ,988,618.08,618.02,618.11,618.02,1767693420000000000,30
QQQ,1319,618.06,618.11,618.11,618.06,1767693480000000000,24
QQQ,541,618.15,618.06,618.15,618.06,1767693540000000000,21
QQQ,643,618.08,618.06,618.08,618.06,1767693600000000000,23
QQQ,1908,618.06,618.03,618.06,618.0,1767693660000000000,41
QQQ,80,618.05,618.05,618.05,618.05,1767693720000000000,1
QQQ,333,618.03,618.01,618.03,618.01,1767693780000000000,20
QQQ,582,617.96,617.98,617.98,617.96,1767693840000000000,14
QQQ,1510,617.91,618.0,618.0,617.85,1767693900000000000,27
QQQ,1231,618.09,618.05,618.14,618.05,1767693960000000000,32
QQQ,445,618.04,618.03,618.04,618.01,1767694020000000000,13
QQQ,1652,618.02,618.01,618.05,618.01,1767694080000000000,30
QQQ,505,617.98,617.93,617.98,617.93,1767694140000000000,15
QQQ,235,617.98,618.09,618.09,617.98,1767694200000000000,8
QQQ,145,618.13,618.15,618.15,618.13,1767694260000000000,9
QQQ,695,618.06,617.97,618.07,617.97,1767694320000000000,25
QQQ,1283,617.92,617.9,617.92,617.9,1767694380000000000,35
QQQ,2856,617.9,617.92,617.97,617.9,1767694440000000000,39
QQQ,347,617.91,617.93,617.93,617.91,1767694560000000000,17
QQQ,355,617.9,617.87,617.9,617.87,1767694620000000000,14
QQQ,952,617.85,617.83,617.87,617.83,1767694680000000000,27
QQQ,632,617.83,617.84,617.86,617.83,1767694740000000000,19
QQQ,673,617.82,617.8,617.83,617.8,1767694800000000000,20
QQQ,706,617.81,617.82,617.89,617.8,1767694860000000000,21
QQQ,2404,617.79,617.72,617.79,617.72,1767694920000000000,51
QQQ,2299,617.74,617.75,617.79,617.74,1767694980000000000,37
QQQ,141,617.85,617.85,617.85,617.85,1767695040000000000,6
QQQ,953,617.83,617.91,617.91,617.81,1767695100000000000,22
QQQ,1215,617.92,617.86,617.96,617.86,1767695160000000000,27
QQQ,53,617.9,617.9,617.9,617.9,1767695220000000000,4
QQQ,303,617.87,617.86,617.88,617.86,1767695280000000000,9
QQQ,455,617.87,617.9,617.9,617.87,1767695340000000000,11
