ticker,volume,open,close,high,low,window_start,transactions
QQQ,7195,608.0,606.29,608.0,605.65,1770282000000000000,214
QQQ,13937,606.32,606.7,606.75,606.31,1770282060000000000,232
QQQ,3699,606.6,606.72,606.77,606.6,1770282120000000000,64
QQQ,4429,606.74,606.22,606.82,606.2,1770282180000000000,114
QQQ,4170,606.01,605.89,606.23,605.88,1770282240000000000,91
QQQ,2112,605.87,605.45,605.87,605.42,1770282300000000000,80
QQQ,3978,605.53,605.6,605.83,605.44,1770282360000000000,87
QQQ,2683,605.65,605.57,605.75,605.52,1770282420000000000,52
QQQ,3318,605.58,606.13,606.21,605.58,1770282480000000000,65
QQQ,7797,606.14,605.78,606.16,605.61,1770282540000000000,114
QQQ,2650,605.69,605.38,605.76,605.37,1770282600000000000,64
QQQ,6431,605.57,605.34,605.57,605.34,1770282660000000000,74
QQQ,1996,605.37,605.82,605.82,605.31,1770282720000000000,46
QQQ,3142,605.82,605.93,606.05,605.82,1770282780000000000,63
QQQ,425,605.87,605.89,605.92,605.87,1770282840000000000,11
QQQ,2080,605.83,605.48,605.83,605.48,1770282900000000000,53
QQQ,3387,605.62,606.01,606.06,605.61,1770282960000000000,57
QQQ,2436,605.98,605.82,605.98,605.7,1770283020000000000,40
QQQ,374,605.6,605.81,605.81,605.6,1770283080000000000,13
QQQ,590,605.75,605.86,605.88,605.75,1770283140000000000,11
QQQ,1127,605.88,606.24,606.26,605.88,1770283200000000000,35
QQQ,1324,606.27,606.42,606.42,606.23,1770283260000000000,36
QQQ,545,606.38,606.41,606.42,606.38,1770283320000000000,20
QQQ,1754,606.49,606.6,606.6,606.49,1770283380000000000,102
QQQ,8077,606.65,606.71,606.75,606.57,1770283440000000000,82
QQQ,2070,606.75,607.1,607.1,606.75,1770283500000000000,40
QQQ,1448,607.0,607.14,607.2,607.0,1770283560000000000,44
QQQ,1602,607.25,607.41,607.41,607.24,1770283620000000000,36
QQQ,4253,607.4,607.19,607.4,607.19,1770283680000000000,54
QQQ,2034,607.32,607.53,607.55,607.3,1770283740000000000,55
QQQ,6143,607.52,607.6,607.71,607.52,1770283800000000000,69
QQQ,2161,607.68,608.08,608.08,607.68,1770283860000000000,64
QQQ,1996,608.09,607.91,608.09,607.76,1770283920000000000,45
QQQ,2673,608.0,607.82,608.0,607.79,1770283980000000000,54
QQQ,864,607.89,607.79,607.9,607.78,1770284040000000000,35
QQQ,1246,607.83,607.5,607.83,607.5,1770284100000000000,42
QQQ,822,607.45,607.32,607.45,607.24,1770284160000000000,21
QQQ,1143,607.26,607.17,607.33,607.17,1770284220000000000,44
QQQ,1804,607.1,607.12,607.12,607.01,1770284280000000000,43
QQQ,825,607.05,606.87,607.05,606.82,1770284340000000000,36
QQQ,315,606.9,606.95,606.95,606.89,1770284400000000000,18
QQQ,722,606.75,606.89,606.99,606.75,1770284460000000000,10
QQQ,474,606.82,606.71,606.85,606.71,1770284520000000000,23
QQQ,3202,606.72,606.55,606.73,606.55,1770284580000000000,81
QQQ,2423,606.61,606.64,606.72,606.52,1770284640000000000,39
QQQ,2873,606.58,606.44,606.62,606.44,1770284700000000000,54
QQQ,2101,606.77,606.74,606.77,606.61,1770284760000000000,28
QQQ,226,606.78,606.78,606.78,606.78,1770284820000000000,13
QQQ,2755,606.71,606.26,606.73,606.26,1770284880000000000,60
QQQ,1937,606.31,606.4,606.4,606.08,1770284940000000000,57
QQQ,5134,606.53,606.73,606.73,606.53,1770285000000000000,52
QQQ,1914,606.75,606.63,606.86,606.63,1770285060000000000,29
QQQ,3458,606.62,606.79,606.79,606.5,1770285120000000000,51
QQQ,2550,606.77,606.87,606.87,606.63,1770285180000000000,35
QQQ,3437,607.0,607.0,607.07,607.0,1770285240000000000,36
QQQ,485,606.97,607.05,607.05,606.96,1770285300000000000,8
QQQ,1890,607.23,607.0,607.23,606.93,1770285360000000000,39
QQQ,1446,606.76,606.72,606.76,606.51,1770285420000000000,43
QQQ,1533,606.65,606.62,606.65,606.57,1770285480000000000,31
QQQ,2362,606.64,606.58,606.64,606.55,1770285540000000000,20
QQQ,1066,606.63,606.62,606.63,606.45,1770285600000000000,25
QQQ,1987,606.84,606.9,606.9,606.84,1770285660000000000,29
QQQ,3282,606.9,606.84,606.9,606.69,1770285720000000000,38
QQQ,4439,606.83,606.82,606.98,606.82,1770285780000000000,65
QQQ,2450,606.83,606.74,606.83,606.69,1770285840000000000,42
QQQ,898,606.84,606.78,606.84,606.78,1770285900000000000,24
QQQ,4075,606.74,606.39,606.74,606.39,1770285960000000000,55
QQQ,925,606.42,606.44,606.54,606.42,1770286020000000000,24
QQQ,5845,606.5,606.56,606.56,606.35,1770286080000000000,100
QQQ,2797,606.5,606.67,606.67,606.49,1770286140000000000,35
QQQ,1533,606.7,607.08,607.08,606.7,1770286200000000000,38
QQQ,1273,607.14,607.28,607.28,607.1,1770286260000000000,40
QQQ,3161,607.27,607.44,607.44,607.27,1770286320000000000,76
QQQ,3745,607.4,607.58,607.89,607.29,1770286380000000000,86
QQQ,2999,607.56,607.6,607.67,607.51,1770286440000000000,49
QQQ,3591,607.78,607.82,607.91,607.78,1770286500000000000,59
QQQ,1291,607.8,607.68,607.81,607.6,1770286560000000000,34
QQQ,2552,607.5,607.6,607.63,607.42,1770286620000000000,46
QQQ,273,607.63,607.65,607.65,607.63,1770286680000000000,14
QQQ,237,607.8,607.8,607.8,607.8,1770286740000000000,13
QQQ,1122,607.79,607.73,607.86,607.73,1770286800000000000,28
QQQ,1755,607.8,608.01,608.05,607.8,1770286860000000000,52
QQQ,1589,607.87,607.68,607.87,607.67,1770286920000000000,34
QQQ,548,607.7,607.57,607.7,607.57,1770286980000000000,17
