ticker,volume,open,close,high,low,window_start,transactions
QQQ,7312,626.5,626.47,626.5,626.22,1768294800000000000,110
QQQ,1222,626.47,626.51,626.55,626.47,1768294860000000000,24
QQQ,1575,626.49,626.59,626.6,626.45,1768294920000000000,33
QQQ,1637,626.65,626.74,626.79,626.65,1768294980000000000,36
QQQ,4904,626.75,626.64,626.79,626.64,1768295040000000000,77
QQQ,1376,626.61,626.64,626.65,626.57,1768295100000000000,29
QQQ,580,626.69,626.64,626.7,626.64,1768295160000000000,19
QQQ,1334,626.6,626.63,626.63,626.6,1768295220000000000,30
QQQ,933,626.62,626.62,626.65,626.61,1768295280000000000,21
QQQ,1853,626.56,626.5,626.56,626.49,1768295340000000000,45
QQQ,572,626.53,626.54,626.54,626.53,1768295400000000000,21
QQQ,2725,626.57,626.61,626.61,626.52,1768295460000000000,18
QQQ,2233,626.64,626.73,626.73,626.64,1768295520000000000,15
QQQ,1424,626.7,626.7,626.72,626.7,1768295580000000000,17
QQQ,145,626.71,626.73,626.73,626.71,1768295640000000000,6
QQQ,1336,626.75,626.76,626.76,626.73,1768295700000000000,32
QQQ,366,626.79,626.79,626.79,626.79,1768295760000000000,17
QQQ,948,626.78,626.73,626.78,626.73,1768295820000000000,26
QQQ,2781,626.83,626.84,626.93,626.83,1768295880000000000,54
QQQ,275,626.88,626.83,626.88,626.83,1768295940000000000,8
QQQ,835,626.83,626.88,626.88,626.83,1768296000000000000,7
QQQ,1797,626.91,626.8,626.91,626.78,1768296060000000000,41
QQQ,4691,626.8,626.84,626.9,626.8,1768296120000000000,87
QQQ,1546,626.84,626.75,626.84,626.75,1768296180000000000,38
QQQ,1982,626.73,626.71,626.73,626.69,1768296240000000000,41
QQQ,329,626.71,626.71,626.71,626.71,1768296300000000000,8
QQQ,431,626.68,626.76,626.76,626.68,1768296360000000000,15
QQQ,1218,626.75,626.68,626.75,626.64,1768296420000000000,37
QQQ,2184,626.68,626.73,626.74,626.68,1768296480000000000,37
QQQ,1114,626.68,626.68,626.69,626.67,1768296540000000000,30
QQQ,1866,626.63,626.63,626.67,626.61,1768296600000000000,38
QQQ,411,626.68,626.69,626.69,626.68,1768296660000000000,19
QQQ,850,626.71,626.71,626.71,626.71,1768296720000000000,18
QQQ,631,626.69,626.66,626.69,626.66,1768296780000000000,24
QQQ,1282,626.62,626.67,626.67,626.62,1768296840000000000,23
QQQ,1074,626.67,626.57,626.67,626.57,1768296900000000000,36
QQQ,1373,626.57,626.46,626.57,626.46,1768296960000000000,36
QQQ,2031,626.45,626.46,626.53,626.45,1768297020000000000,36
QQQ,904,626.51,626.5,626.52,626.5,1768297080000000000,23
QQQ,1374,626.55,626.47,626.55,626.46,1768297140000000000,46
QQQ,1444,626.48,626.47,626.48,626.45,1768297200000000000,35
QQQ,308,626.44,626.42,626.44,626.42,1768297260000000000,6
QQQ,1892,626.39,626.28,626.41,626.28,1768297320000000000,51
QQQ,1862,626.24,626.03,626.24,626.03,1768297380000000000,61
QQQ,1699,626.05,626.05,626.05,625.94,1768297440000000000,53
QQQ,576,626.04,626.05,626.07,626.04,1768297500000000000,27
QQQ,2395,626.06,626.08,626.09,626.02,1768297560000000000,38
QQQ,2551,626.17,626.18,626.25,626.17,1768297620000000000,57
QQQ,1894,626.25,626.28,626.28,626.25,1768297680000000000,13
QQQ,1376,626.32,626.26,626.32,626.26,1768297740000000000,25
QQQ,391,626.32,626.43,626.43,626.32,1768297920000000000,22
QQQ,493,626.42,626.38,626.42,626.38,1768297980000000000,14
QQQ,548,626.27,626.3,626.3,626.27,1768298100000000000,21
QQQ,1596,626.37,626.31,626.37,626.31,1768298160000000000,19
QQQ,370,626.33,626.35,626.35,626.33,1768298220000000000,12
QQQ,321,626.4,626.4,626.4,626.4,1768298280000000000,7
QQQ,560,626.39,626.36,626.39,626.36,1768298340000000000,16
QQQ,747,626.36,626.38,626.38,626.36,1768298400000000000,26
QQQ,135,626.3,626.4,626.4,626.3,1768298520000000000,4
QQQ,3813,626.4,626.36,626.42,626.36,1768298580000000000,92
QQQ,725,626.29,626.22,626.29,626.22,1768298640000000000,35
QQQ,1118,626.1,626.13,626.13,626.1,1768298700000000000,32
QQQ,131,626.12,626.09,626.12,626.09,1768298760000000000,4
QQQ,750,626.09,626.04,626.09,626.04,1768298820000000000,18
QQQ,1148,626.05,626.06,626.06,626.03,1768298880000000000,19
QQQ,2622,626.04,625.99,626.04,625.97,1768298940000000000,68
QQQ,1722,625.85,625.89,625.89,625.79,1768299000000000000,54
QQQ,1690,625.89,625.99,625.99,625.89,1768299060000000000,41
QQQ,1051,626.03,625.99,626.06,625.99,1768299120000000000,22
QQQ,1214,625.93,625.92,625.93,625.92,1768299180000000000,38
