ticker,window_start,open,close,high,low,volume,transactions
QQQ,1772016060000000000,609.33,609.43,609.48,609.31,1937,31
QQQ,1772016120000000000,609.44,609.34,609.44,609.34,546,10
QQQ,1772016240000000000,609.34,609.36,609.36,609.34,532,11
QQQ,1772016300000000000,609.32,609.17,609.32,609.17,503,11
QQQ,1772016360000000000,609.21,609.24,609.26,609.21,798,10
QQQ,1772016420000000000,609.25,609.26,609.26,609.25,522,9
QQQ,1772016540000000000,609.31,609.25,609.31,609.25,522,12
QQQ,1772016600000000000,609.19,609.2,609.2,609.19,215,11
QQQ,1772016660000000000,609.13,609.13,609.13,609.13,184,9
QQQ,1772016720000000000,609.14,609.15,609.15,609.1,535,15
QQQ,1772016780000000000,609.11,609.08,609.11,609.07,572,16
QQQ,1772016840000000000,609.01,608.89,609.01,608.89,413,11
QQQ,1772016900000000000,608.87,608.89,608.94,608.87,385,18
QQQ,1772016960000000000,608.9,608.9,608.97,608.89,5145,88
QQQ,1772017020000000000,608.91,608.93,608.93,608.89,1442,26
QQQ,1772017080000000000,608.89,608.85,609,608.85,3024,47
QQQ,1772017140000000000,608.84,608.99,608.99,608.84,2199,29
QQQ,1772017200000000000,609.05,608.99,609.05,608.97,1049,17
QQQ,1772017260000000000,609.03,608.96,609.03,608.95,821,17
QQQ,1772017320000000000,608.99,608.96,608.99,608.91,2050,27
QQQ,1772017380000000000,608.92,608.96,609,608.92,1482,23
QQQ,1772017440000000000,608.96,608.92,608.96,608.91,1008,14
QQQ,1772017500000000000,608.96,608.97,609.01,608.96,1184,20
QQQ,1772017560000000000,609.03,608.92,609.03,608.91,2507,24
QQQ,1772017620000000000,608.91,608.96,608.96,608.86,1350,30
QQQ,1772017680000000000,608.98,609.03,609.03,608.98,1014,14
QQQ,1772017740000000000,609.06,609,609.06,608.96,2723,41
QQQ,1772017800000000000,609.01,609.03,609.05,608.99,983,13
QQQ,1772017860000000000,609.13,609.07,609.13,609.04,345,16
QQQ,1772017920000000000,609.08,609.1,609.1,609.08,412,12
QQQ,1772017980000000000,609.1,609.08,609.1,609.07,1151,20
QQQ,1772018040000000000,609.09,609.16,609.16,609.09,436,12
QQQ,1772018100000000000,609.14,609.18,609.18,609.13,2638,44
QQQ,1772018160000000000,609.21,609.14,609.21,609.14,323,11
QQQ,1772018220000000000,609.16,609.09,609.16,609.09,396,9
QQQ,1772018280000000000,609.06,609.08,609.13,609.02,4035,48
QQQ,1772018340000000000,609,609.04,609.05,609,1167,17
QQQ,1772018400000000000,609.04,609.03,609.04,609.01,501,17
QQQ,1772018460000000000,609.03,608.96,609.03,608.94,896,15
QQQ,1772018520000000000,609.05,609.19,609.19,609.04,1845,23
QQQ,1772018580000000000,609.19,609.24,609.25,609.14,4822,61
QQQ,1772018640000000000,609.24,609.15,609.24,609.15,320,8
QQQ,1772018700000000000,609.16,609.2,609.2,609.16,314,10
QQQ,1772018760000000000,609.22,609.2,609.22,609.19,986,16
QQQ,1772018820000000000,609.2,609.2,609.21,609.18,1617,19
QQQ,1772018880000000000,609.2,609.2,609.22,609.19,546,13
QQQ,1772018940000000000,609.19,609.19,609.19,609.19,98,9
QQQ,1772019000000000000,609.19,609.3,609.34,609.19,6894,45
QQQ,1772019060000000000,609.3,609.4,609.4,609.3,570,17
QQQ,1772019120000000000,609.39,609.4,609.5,609.39,1582,29
QQQ,1772019180000000000,609.44,609.54,609.57,609.44,9684,110
QQQ,1772019240000000000,609.58,609.61,609.61,609.57,1786,38
QQQ,1772019300000000000,609.58,609.66,609.66,609.58,1350,31
QQQ,1772019360000000000,609.62,609.51,609.62,609.51,1859,35
QQQ,1772019420000000000,609.54,609.48,609.54,609.47,1368,19
QQQ,1772019480000000000,609.45,609.6,609.6,609.45,1254,24
QQQ,1772019540000000000,609.65,609.7,609.7,609.65,792,17
QQQ,1772019600000000000,609.76,609.8,609.8,609.76,1328,31
QQQ,1772019660000000000,609.79,609.79,609.85,609.79,1938,30
QQQ,1772019720000000000,609.8,609.81,609.81,609.79,492,16
QQQ,1772019780000000000,609.8,609.76,609.8,609.75,3112,42
QQQ,1772019840000000000,609.71,609.8,609.8,609.7,2069,35
QQQ,1772019900000000000,609.83,609.81,609.84,609.79,2392,39
QQQ,1772019960000000000,609.84,609.98,610.07,609.84,11001,192
QQQ,1772020020000000000,609.94,610.08,610.09,609.93,3209,50
QQQ,1772020080000000000,610.04,610,610.06,610,1250,14
QQQ,1772020140000000000,610,609.96,610,609.95,5456,47
QQQ,1772020200000000000,609.94,609.95,610,609.92,1591,31
QQQ,1772020260000000000,609.93,609.96,609.96,609.93,1547,34
QQQ,1772020320000000000,609.95,610,610,609.95,968,28
QQQ,1772020380000000000,610,610.05,610.05,609.98,1315,28
QQQ,1772020440000000000,610.01,610.06,610.11,610.01,2554,42
QQQ,1772020500000000000,610.08,610.23,610.23,610.07,5295,83
QQQ,1772020560000000000,610.21,610.16,610.25,610.13,891,35
QQQ,1772020620000000000,610.21,610.18,610.24,610.16,879,27
QQQ,1772020680000000000,610.19,610.18,610.2,610.15,1320,23
QQQ,1772020740000000000,610.22,610.18,610.22,610.18,386,16
QQQ,1772020800000000000,610.17,610.04,610.17,610,10853,145
QQQ,1772020860000000000,610.04,610.14,610.14,609.99,16207,109
QQQ,1772020920000000000,610.15,610.37,610.37,610.15,4618,76
QQQ,1772020980000000000,610.2,610.21,610.21,610.19,731,29
QQQ,1772021040000000000,610.13,610.1,610.14,610.05,8881,73
QQQ,1772021100000000000,610,610.07,610.08,610,1014,32
QQQ,1772021160000000000,610.06,610.1,610.12,610.06,1879,41
QQQ,1772021220000000000,610.07,610.08,610.11,610.05,2165,32
QQQ,1772021280000000000,610.19,610.13,610.23,610.1,4835,44
QQQ,1772021340000000000,610.11,610.08,610.11,610.08,9749,43
QQQ,1772021400000000000,610.17,610.19,610.19,610.17,592,10
QQQ,1772021460000000000,610.13,609.85,610.13,609.83,7901,105
QQQ,1772021520000000000,609.9,609.94,609.94,609.89,8768,39
QQQ,1772021580000000000,609.95,609.77,609.95,609.77,1655,29
QQQ,1772021640000000000,609.82,609.92,609.93,609.82,4542,36
QQQ,1772021700000000000,609.93,609.94,609.94,609.93,296,20
QQQ,1772021760000000000,609.94,610.03,610.03,609.93,3572,43
QQQ,1772021820000000000,610.05,610.01,610.1,610.01,1471,25
QQQ,1772021880000000000,610.04,610.05,610.05,610,1174,21
QQQ,1772021940000000000,610.05,610.319,610.39,610.05,23094,231
QQQ,1772022000000000000,610.31,610.52,610.61,610.31,13905,184
QQQ,1772022060000000000,610.62,610.66,610.69,610.62,2084,49
QQQ,1772022120000000000,610.65,610.77,610.78,610.58,1295,45
QQQ,1772022180000000000,610.76,610.64,610.76,610.61,9624,116
QQQ,1772022240000000000,610.67,610.68,610.79,610.65,8999,143
QQQ,1772022300000000000,610.61,610.7,610.74,610.61,16183,142
QQQ,1772022360000000000,610.71,610.61,610.73,610.61,1855,28
QQQ,1772022420000000000,610.75,610.6,610.77,610.6,2057,43
QQQ,1772022480000000000,610.59,610.5,610.6,610.45,1981,35
QQQ,1772022540000000000,610.44,610.44,610.44,610.39,1433,22
QQQ,1772022600000000000,610.33,610.32,610.33,610.27,586,21
QQQ,1772022660000000000,610.3,610.25,610.3,610.22,2227,37
QQQ,1772022720000000000,610.33,610.36,610.37,610.27,3698,46
QQQ,1772022780000000000,610.33,610.47,610.53,610.33,7285,98
QQQ,1772022840000000000,610.5,610.53,610.64,610.42,6270,103
QQQ,1772022900000000000,610.53,610.55,610.63,610.45,5209,83
QQQ,1772022960000000000,610.59,610.54,610.63,610.54,669,19
QQQ,1772023020000000000,610.5,610.55,610.55,610.5,2877,32
QQQ,1772023080000000000,610.57,610.5,610.6,610.47,2582,37
QQQ,1772023140000000000,610.47,610.48,610.48,610.44,770,28
QQQ,1772023200000000000,610.48,610.45,610.49,610.4,2079,40
QQQ,1772023260000000000,610.44,610.37,610.45,610.37,603,22
QQQ,1772023320000000000,610.36,610.45,610.47,610.35,5852,68
QQQ,1772023380000000000,610.45,610.38,610.45,610.3,1617,41
QQQ,1772023440000000000,610.38,610.38,610.46,610.35,2887,57
QQQ,1772023500000000000,610.36,610.41,610.41,610.36,787,20
QQQ,1772023560000000000,610.48,610.53,610.54,610.48,988,29
QQQ,1772023620000000000,610.54,610.5,610.6,610.5,2500,36
QQQ,1772023680000000000,610.52,610.52,610.52,610.5,4149,29
QQQ,1772023740000000000,610.55,610.47,610.58,610.46,5259,72
QQQ,1772023800000000000,610.52,610.61,610.61,610.52,1437,35
QQQ,1772023860000000000,610.63,610.7,610.73,610.63,2153,43
QQQ,1772023920000000000,610.73,610.7,610.77,610.56,10556,108
QQQ,1772023980000000000,610.7,610.68,610.7,610.68,4635,30
QQQ,1772024040000000000,610.68,610.69,610.69,610.62,914,26
QQQ,1772024100000000000,610.69,610.48,610.73,610.48,5125,77
QQQ,1772024160000000000,610.53,610.43,610.53,610.41,3744,67
QQQ,1772024220000000000,610.47,610.44,610.48,610.44,596,22
QQQ,1772024280000000000,610.43,610.48,610.49,610.43,11602,122
QQQ,1772024340000000000,610.54,610.55,610.57,610.5,6372,67
QQQ,1772024400000000000,610.55,610.49,610.55,610.43,10618.563477,127
QQQ,1772024460000000000,610.4701,610.55,610.59,610.4701,1328.563119,36
QQQ,1772024520000000000,610.56,610.6,610.6,610.54,6329.737231,80
QQQ,1772024580000000000,610.7,610.65,610.73,610.65,881.800816,42
QQQ,1772024640000000000,610.55,610.56,610.56,610.48,12038.580206,91
QQQ,1772024700000000000,610.56,610.7,610.7,610.56,1846.286037,55
QQQ,1772024760000000000,610.69,610.71,610.76,610.65,3544.69925,55
QQQ,1772024820000000000,610.65,610.65,610.66,610.561,2320.92001,50
QQQ,1772024880000000000,610.6617,610.68,610.7,610.6617,993.397765,20
QQQ,1772024940000000000,610.66,610.6,610.68,610.6,2780.271647,46
QQQ,1772025000000000000,610.61,610.6525,610.76,610.61,3665.741881,95
QQQ,1772025060000000000,610.61,610.75,610.75,610.61,3149.745748,46
QQQ,1772025120000000000,610.78,610.7,610.81,610.66,3290.556778,87
QQQ,1772025180000000000,610.72,610.82,610.82,610.69,2630.199335,69
QQQ,1772025240000000000,610.81,610.8031,610.87,610.8,5587.614256,79
QQQ,1772025300000000000,610.78,610.71,610.78,610.69,10001.042569,87
QQQ,1772025360000000000,610.69,610.6187,610.69,610.6,5371.186603,107
QQQ,1772025420000000000,610.61,610.68,610.68,610.6,1677.277008,67
QQQ,1772025480000000000,610.72,610.71,610.73,610.67,974.624279,44
QQQ,1772025540000000000,610.69,610.57,610.69,610.57,3043.838312,72
QQQ,1772025600000000000,610.58,610.53,610.6,610.5,3866.865849,80
QQQ,1772025660000000000,610.58,610.45,610.58,610.41,2006.016379,71
QQQ,1772025720000000000,610.42,610.44,610.48,610.38,5823.101933,133
QQQ,1772025780000000000,610.41,610.48,610.49,610.41,4736.12165,100
QQQ,1772025840000000000,610.48,610.61,610.61,610.46,5239.425586,119
QQQ,1772025900000000000,610.61,610.7,610.7,610.59,4389.105425,67
QQQ,1772025960000000000,610.72,610.64,610.74,610.64,3496.515264,62
QQQ,1772026020000000000,610.58,610.58,610.6,610.54,1824.355875,53
QQQ,1772026080000000000,610.61,610.71,610.71,610.61,5524.320484,68
QQQ,1772026140000000000,610.75,610.65,610.75,608.57,13462.053444,62
QQQ,1772026200000000000,610.59,610.47,610.59,610.46,757.960601,47
QQQ,1772026260000000000,610.44,610.3625,610.4429,610.3,9608.799152,179
QQQ,1772026320000000000,610.38,610.45,610.45,610.36,3761.094998,75
QQQ,1772026380000000000,610.45,610.25,610.45,610.24,1783,47
QQQ,1772026440000000000,610.27,610.4,610.42,610.25,7868.545034,115
QQQ,1772026500000000000,610.36,610.42,610.53,610.36,7777.003341,111
QQQ,1772026560000000000,610.42,610.41,610.53,610.38,13560.447374,196
QQQ,1772026620000000000,610.37,610.42,610.42,610.37,9923.268382,133
QQQ,1772026680000000000,610.43,610.53,610.53,610.37,13075.393412,84
QQQ,1772026740000000000,610.51,610.45,610.51,610.45,647.530888,36
QQQ,1772026800000000000,610.48,610.56,610.58,610.48,2248.336203,51
QQQ,1772026860000000000,610.57,610.51,610.68,610.51,6601.249413,91
QQQ,1772026920000000000,610.49,610.51,610.51,610.44,2912.389887,69
QQQ,1772026980000000000,610.53,610.53,610.55,610.48,1519.712972,54
QQQ,1772027040000000000,610.55,610.45,610.55,610.43,1151.848008,51
QQQ,1772027100000000000,610.48,610.5,610.5,610.43,1560.854227,50
QQQ,1772027160000000000,610.5,610.54,610.64,610.5,5186.046335,103
QQQ,1772027220000000000,610.46,610.55,610.55,610.43,2487.829662,70
QQQ,1772027280000000000,610.58,610.69,610.72,610.53,7074.749242,140
QQQ,1772027340000000000,610.7,610.66,610.75,610.6,3489.713718,74
QQQ,1772027400000000000,610.65,610.7,610.74,610.62,1968.860749,46
QQQ,1772027460000000000,610.69,610.66,610.69,610.62,1208.799299,42
QQQ,1772027520000000000,610.68,610.62,610.68,610.61,2037.329141,62
QQQ,1772027580000000000,610.61,610.61,610.63,610.57,3890.226236,84
QQQ,1772027640000000000,610.6162,610.7,610.7,610.54,2595.973005,61
QQQ,1772027700000000000,610.7,610.97,611,610.7,19540.741599,340
QQQ,1772027760000000000,610.99,611.12,611.21,610.95,14311.598867,260
QQQ,1772027820000000000,611.11,611.12,611.16,611.08,2496.152092,69
QQQ,1772027880000000000,611.01,610.87,611.01,610.87,3664.56684,79
QQQ,1772027940000000000,610.87,610.84,610.93,610.83,2645.060483,76
QQQ,1772028000000000000,610.9,610.86,611.03,610.86,3443.223191,99
QQQ,1772028060000000000,610.95,611.13,611.169,610.95,5165.669958,108
QQQ,1772028120000000000,611.12,611.07,611.18,611.06,5279.741655,100
QQQ,1772028180000000000,610.99,610.81,610.99,610.78,9199.703055,178
QQQ,1772028240000000000,610.84,610.8402,610.88,610.78,5649.446676,100
QQQ,1772028300000000000,610.83,610.86,610.91,610.79,15328.751411,246
QQQ,1772028360000000000,610.87,610.83,610.9,610.76,5572.030305,94
QQQ,1772028420000000000,610.88,610.87,610.89,610.74,4679.819209,123
QQQ,1772028480000000000,610.889,610.98,611,610.87,42912.228773,173
QQQ,1772028540000000000,611.02,611.2,611.36,610.98,12947.315692,243
QQQ,1772028600000000000,611.26,611.48,611.5,611.26,29522.358234,362
QQQ,1772028660000000000,611.46,611.41,611.46,611.3486,9694.441613,135
QQQ,1772028720000000000,611.44,611.3,611.45,611.27,13473.022317,172
QQQ,1772028780000000000,611.3,611.16,611.32,611.16,10277.478907,160
QQQ,1772028840000000000,611.18,611,611.18,610.99,7896.531719,138
