ticker,volume,open,close,high,low,window_start,transactions
QQQ,5735,604.15,604.51,604.54,604.0,1771405200000000000,89
QQQ,2084,604.34,604.61,604.61,604.34,1771405260000000000,64
QQQ,1896,604.57,604.58,604.68,604.53,1771405320000000000,52
QQQ,4388,604.54,604.42,604.54,604.36,1771405380000000000,85
QQQ,2647,604.39,604.44,604.48,604.38,1771405440000000000,49
QQQ,3632,604.51,604.52,604.58,604.5,1771405500000000000,61
QQQ,2514,604.51,604.46,604.53,604.38,1771405560000000000,46
QQQ,2802,604.5,604.4,604.51,604.39,1771405620000000000,52
QQQ,3472,604.33,604.44,604.5,604.32,1771405680000000000,60
QQQ,2570,604.5,604.54,604.54,604.38,1771405740000000000,63
QQQ,1837,604.64,604.63,604.65,604.57,1771405800000000000,62
QQQ,1027,604.62,604.64,604.71,604.62,1771405860000000000,29
QQQ,2182,604.64,604.85,604.85,604.55,1771405920000000000,66
QQQ,1626,604.89,604.81,604.89,604.79,1771405980000000000,59
QQQ,1174,604.83,604.66,604.86,604.66,1771406040000000000,28
QQQ,1107,604.76,604.88,604.88,604.76,1771406100000000000,23
QQQ,2969,604.69,604.55,604.69,604.49,1771406160000000000,54
QQQ,948,604.5,604.55,604.59,604.47,1771406220000000000,30
QQQ,480,604.49,604.56,604.56,604.49,1771406280000000000,21
QQQ,2545,604.52,604.59,604.59,604.52,1771406340000000000,48
QQQ,1060,604.54,604.55,604.55,604.52,1771406400000000000,29
QQQ,4821,604.55,604.6,604.6,604.4,1771406460000000000,113
QQQ,1140,604.59,604.58,604.59,604.58,1771406520000000000,24
QQQ,634,604.53,604.55,604.57,604.53,1771406580000000000,14
QQQ,1184,604.58,604.73,604.73,604.58,1771406640000000000,25
QQQ,486,604.78,604.77,604.79,604.77,1771406700000000000,17
QQQ,1389,604.79,604.68,604.8,604.68,1771406760000000000,27
QQQ,705,604.62,604.7,604.71,604.62,1771406820000000000,26
QQQ,7425,604.72,604.87,604.9,604.72,1771406880000000000,101
QQQ,351,604.81,604.77,604.81,604.77,1771406940000000000,15
QQQ,1739,604.79,604.86,604.9,604.78,1771407000000000000,40
QQQ,3035,604.9,604.98,604.99,604.89,1771407060000000000,65
QQQ,11773,605.0,605.03,605.08,604.96,1771407120000000000,163
QQQ,2682,605.09,605.03,605.1,605.03,1771407180000000000,58
QQQ,1680,605.0,605.1,605.1,604.98,1771407240000000000,20
QQQ,4888,605.09,605.02,605.2,605.02,1771407300000000000,86
QQQ,3150,605.06,605.18,605.28,605.04,1771407360000000000,65
QQQ,2069,605.18,605.2,605.2,605.17,1771407420000000000,36
QQQ,1961,605.16,605.18,605.2,605.13,1771407480000000000,41
QQQ,2667,605.17,605.23,605.31,605.17,1771407540000000000,53
QQQ,964,605.24,605.18,605.27,605.18,1771407600000000000,18
QQQ,1882,605.16,605.23,605.25,605.16,1771407660000000000,55
QQQ,1810,605.27,605.24,605.28,605.23,1771407720000000000,41
QQQ,1748,605.26,605.17,605.3,605.15,1771407780000000000,37
QQQ,124,605.18,605.18,605.18,605.18,1771407840000000000,8
QQQ,621,605.19,605.13,605.2,605.13,1771407900000000000,17
QQQ,1582,605.15,605.08,605.16,605.05,1771407960000000000,34
QQQ,5254,605.02,605.01,605.03,604.95,1771408020000000000,62
QQQ,2297,605.05,605.04,605.14,605.03,1771408080000000000,46
QQQ,8275,604.99,604.87,605.0,604.86,1771408140000000000,101
QQQ,2118,604.92,604.81,604.92,604.76,1771408200000000000,60
QQQ,1517,604.84,604.96,604.96,604.84,1771408260000000000,30
QQQ,345,605.03,604.97,605.03,604.97,1771408320000000000,17
QQQ,358,604.9,604.77,604.9,604.77,1771408380000000000,13
QQQ,1099,604.77,604.82,604.91,604.77,1771408440000000000,32
QQQ,571,604.78,604.8,604.8,604.78,1771408500000000000,18
QQQ,339,604.85,604.71,604.85,604.71,1771408560000000000,15
QQQ,2380,604.65,604.57,604.65,604.55,1771408620000000000,45
QQQ,1561,604.6,604.51,604.6,604.51,1771408680000000000,34
QQQ,1615,604.51,604.58,604.6,604.51,1771408740000000000,27
QQQ,2072,604.56,604.7,604.7,604.56,1771408800000000000,44
QQQ,3635,604.62,604.66,604.67,604.58,1771408860000000000,73
QQQ,1266,604.68,604.82,604.82,604.68,1771408920000000000,34
QQQ,2961,604.84,604.9,605.01,604.83,1771408980000000000,67
QQQ,1531,604.93,605.09,605.12,604.92,1771409040000000000,33
QQQ,1018,605.18,605.14,605.19,605.14,1771409100000000000,23
QQQ,210,605.02,605.07,605.07,605.02,1771409160000000000,10
QQQ,472,605.07,604.94,605.07,604.94,1771409220000000000,14
QQQ,2278,604.94,604.88,604.95,604.88,1771409280000000000,35
QQQ,557,604.86,604.99,604.99,604.86,1771409340000000000,13
QQQ,979,604.95,604.97,604.97,604.95,1771409400000000000,12
QQQ,1209,604.99,604.99,605.01,604.99,1771409460000000000,24
QQQ,789,605.1,605.18,605.18,605.1,1771409520000000000,19
QQQ,1750,605.23,605.17,605.24,605.15,1771409580000000000,44
QQQ,1917,605.2,605.12,605.2,605.08,1771409640000000000,55
QQQ,564,605.1,605.11,605.11,605.1,1771409700000000000,16
QQQ,342,605.13,605.13,605.13,605.13,1771409760000000000,15
QQQ,2068,605.05,605.0,605.06,605.0,1771409880000000000,30
QQQ,1372,605.01,605.0,605.01,604.96,1771409940000000000,29
QQQ,843,605.0,605.05,605.05,604.96,1771410000000000000,20
